"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","0.9354","0.9220","0.9496","0.9060","38.32M","1.45%"
"Jan 25, 2022","0.9220","0.9127","0.9451","0.8682","38.72M","0.81%"
"Jan 24, 2022","0.9146","0.9889","0.9889","0.8179","56.37M","-7.59%"
"Jan 23, 2022","0.9898","0.9529","1.0040","0.9258","54.60M","3.87%"
"Jan 22, 2022","0.9529","1.0314","1.0606","0.7982","127.38M","-7.77%"
"Jan 21, 2022","1.0331","1.1631","1.1945","1.0013","82.86M","-11.17%"
"Jan 20, 2022","1.1631","1.2660","1.3256","1.1595","36.97M","-8.13%"
"Jan 19, 2022","1.2660","1.3169","1.3219","1.2256","36.73M","-4.06%"
"Jan 18, 2022","1.3197","1.3415","1.3604","1.2781","31.93M","-1.70%"
"Jan 17, 2022","1.3425","1.4292","1.4421","1.3388","32.96M","-6.07%"
"Jan 16, 2022","1.4292","1.3802","1.4476","1.3676","25.61M","3.55%"
"Jan 15, 2022","1.3802","1.3830","1.4131","1.3582","27.24M","-0.21%"
"Jan 14, 2022","1.3831","1.3594","1.4109","1.3261","68.31M","1.74%"
"Jan 13, 2022","1.3594","1.4976","1.4981","1.3456","90.78M","-9.22%"
"Jan 12, 2022","1.4976","1.4438","1.5007","1.4259","62.35M","3.73%"
"Jan 11, 2022","1.4438","1.3654","1.4505","1.3489","33.91M","5.74%"
"Jan 10, 2022","1.3654","1.4000","1.4483","1.3009","38.72M","-2.47%"
"Jan 09, 2022","1.4000","1.3844","1.4407","1.3700","19.82M","1.13%"
"Jan 08, 2022","1.3844","1.4430","1.4675","1.3164","31.32M","-4.06%"
"Jan 07, 2022","1.4430","1.5632","1.5684","1.3948","53.85M","-7.78%"
"Jan 06, 2022","1.5647","1.5515","1.6047","1.4845","48.50M","0.85%"
"Jan 05, 2022","1.5515","1.6715","1.7993","1.4559","65.47M","-7.18%"
"Jan 04, 2022","1.6715","1.7959","1.8449","1.6600","64.03M","-6.70%"
"Jan 03, 2022","1.7915","1.6743","1.8350","1.6273","58.55M","7.00%"
"Jan 02, 2022","1.6743","1.7420","1.7832","1.6617","27.56M","-3.88%"
"Jan 01, 2022","1.7420","1.6596","1.7665","1.6316","23.91M","4.96%"
"Dec 31, 2021","1.6596","1.7314","1.7838","1.6282","49.94M","-4.14%"
"Dec 30, 2021","1.7314","1.5826","1.7538","1.5219","71.92M","9.40%"
"Dec 29, 2021","1.5826","1.4652","1.6393","1.4087","46.05M","8.01%"
"Dec 28, 2021","1.4652","1.6623","1.6625","1.4554","42.74M","-11.65%"
"Dec 27, 2021","1.6584","1.6063","1.7239","1.5803","33.56M","3.24%"
"Dec 26, 2021","1.6063","1.5750","1.6413","1.5451","35.96M","1.99%"
"Dec 25, 2021","1.5750","1.5736","1.5990","1.5321","23.96M","0.09%"
"Dec 24, 2021","1.5736","1.4686","1.6485","1.4463","49.11M","7.15%"
"Dec 23, 2021","1.4686","1.3628","1.4869","1.3442","33.61M","7.75%"
"Dec 22, 2021","1.3629","1.3580","1.4150","1.3429","31.06M","0.36%"
"Dec 21, 2021","1.3580","1.2971","1.3618","1.2909","28.31M","4.73%"
"Dec 20, 2021","1.2966","1.3558","1.3562","1.2567","27.84M","-4.36%"
"Dec 19, 2021","1.3558","1.3787","1.4235","1.3536","18.42M","-1.66%"
"Dec 18, 2021","1.3787","1.3480","1.3983","1.3260","16.68M","2.28%"
"Dec 17, 2021","1.3480","1.3878","1.4024","1.3185","20.03M","-2.86%"
"Dec 16, 2021","1.3876","1.4260","1.4655","1.3843","19.65M","-2.81%"
"Dec 15, 2021","1.4277","1.3800","1.4530","1.3057","29.82M","3.42%"
"Dec 14, 2021","1.3805","1.3225","1.3925","1.3123","27.96M","4.30%"
"Dec 13, 2021","1.3236","1.5392","1.5577","1.3201","39.02M","-14.09%"
"Dec 12, 2021","1.5407","1.5243","1.5651","1.5090","18.00M","1.07%"
"Dec 11, 2021","1.5243","1.4594","1.5732","1.4309","26.12M","4.41%"
"Dec 10, 2021","1.4598","1.5483","1.5982","1.4587","28.62M","-5.71%"
"Dec 09, 2021","1.5483","1.7012","1.7130","1.5466","33.86M","-8.99%"
"Dec 08, 2021","1.7012","1.6857","1.7012","1.5986","27.03M","0.92%"
"Dec 07, 2021","1.6857","1.7619","1.8095","1.6649","41.55M","-4.53%"
"Dec 06, 2021","1.7656","1.7625","1.8604","1.6159","111.76M","0.17%"
"Dec 05, 2021","1.7625","1.6550","1.7625","1.5913","85.36M","6.49%"
"Dec 04, 2021","1.6550","1.7451","1.7455","1.3445","94.89M","-5.16%"
"Dec 03, 2021","1.7451","1.8868","1.9414","1.7010","48.43M","-7.43%"
"Dec 02, 2021","1.8853","1.9607","2.0408","1.8504","62.35M","-4.04%"
"Dec 01, 2021","1.9646","1.8105","2.0229","1.8021","80.31M","8.51%"
"Nov 30, 2021","1.8105","1.7733","1.8773","1.7317","59.21M","2.10%"
"Nov 29, 2021","1.7733","1.7133","1.8274","1.6939","47.74M","3.51%"
"Nov 28, 2021","1.7133","1.6780","1.7133","1.5748","36.30M","2.10%"
"Nov 27, 2021","1.6780","1.5978","1.7230","1.5978","40.96M","5.02%"
"Nov 26, 2021","1.5978","1.8187","1.8221","1.5923","61.10M","-12.15%"
"Nov 25, 2021","1.8187","1.7445","1.8422","1.7257","42.50M","4.25%"
"Nov 24, 2021","1.7445","1.8394","1.8703","1.7212","46.70M","-5.16%"
"Nov 23, 2021","1.8394","1.7385","1.8492","1.6981","43.50M","5.81%"
"Nov 22, 2021","1.7385","1.8317","1.8350","1.7157","44.72M","-5.09%"
"Nov 21, 2021","1.8317","1.8379","1.8913","1.7823","43.71M","-0.34%"
"Nov 20, 2021","1.8379","1.8777","1.9043","1.7601","41.82M","-2.12%"
"Nov 19, 2021","1.8777","1.8533","1.9060","1.7524","71.53M","1.32%"
"Nov 18, 2021","1.8533","1.6587","2.8557","1.6494","515.83M","11.76%"
"Nov 17, 2021","1.6582","1.7256","1.7593","1.5964","61.48M","-3.90%"
"Nov 16, 2021","1.7256","1.8903","1.8904","1.5686","96.31M","-8.71%"
"Nov 15, 2021","1.8903","1.9810","2.0089","1.8624","53.41M","-4.58%"
"Nov 14, 2021","1.9810","2.0749","2.1076","1.9201","53.72M","-4.70%"
"Nov 13, 2021","2.0786","2.1453","2.1610","2.0335","46.72M","-3.11%"
"Nov 12, 2021","2.1453","2.0204","2.3442","2.0037","180.58M","6.18%"
"Nov 11, 2021","2.0204","1.9341","2.0600","1.8769","62.91M","4.62%"
"Nov 10, 2021","1.9312","1.9453","2.2893","1.8530","130.98M","-0.72%"
"Nov 09, 2021","1.9453","2.0476","2.0555","1.9316","39.90M","-5.00%"
"Nov 08, 2021","2.0476","1.8644","2.0841","1.8357","64.24M","9.83%"
"Nov 07, 2021","1.8644","1.8359","1.8699","1.8204","16.68M","1.62%"
"Nov 06, 2021","1.8347","1.8428","1.8658","1.7783","18.03M","-0.44%"
"Nov 05, 2021","1.8428","1.8580","1.9127","1.8293","23.48M","-0.82%"
"Nov 04, 2021","1.8580","1.9258","1.9616","1.8197","30.13M","-3.52%"
"Nov 03, 2021","1.9258","1.8610","1.9706","1.8249","48.07M","3.48%"
"Nov 02, 2021","1.8610","1.8324","1.9091","1.8306","31.54M","1.56%"
"Nov 01, 2021","1.8324","1.8310","1.8652","1.7771","27.45M","0.08%"
"Oct 31, 2021","1.8310","1.8175","1.8553","1.7559","33.74M","0.74%"
"Oct 30, 2021","1.8175","1.8741","1.8759","1.7841","24.89M","-3.02%"
"Oct 29, 2021","1.8741","1.8472","1.9141","1.8354","39.31M","1.46%"
"Oct 28, 2021","1.8472","1.7867","1.8797","1.7523","55.46M","3.21%"
"Oct 27, 2021","1.7897","2.0423","2.0860","1.6943","85.27M","-12.37%"
"Oct 26, 2021","2.0423","2.0496","2.0995","1.9494","63.76M","-0.20%"
"Oct 25, 2021","2.0462","1.8157","2.0736","1.8081","64.99M","12.69%"
"Oct 24, 2021","1.8157","1.9075","1.9192","1.7832","31.04M","-4.86%"
"Oct 23, 2021","1.9085","1.8606","1.9407","1.8468","38.55M","2.57%"
"Oct 22, 2021","1.8606","1.7831","1.9400","1.7727","63.64M","4.35%"
"Oct 21, 2021","1.7831","1.7894","1.8833","1.7558","55.61M","-0.35%"
"Oct 20, 2021","1.7894","1.7108","1.8204","1.6874","30.20M","4.60%"
"Oct 19, 2021","1.7108","1.7373","1.7682","1.6861","22.60M","-1.52%"
"Oct 18, 2021","1.7373","1.7686","1.7875","1.7158","22.25M","-1.77%"
"Oct 17, 2021","1.7686","1.7983","1.8917","1.7257","43.84M","-1.50%"
"Oct 16, 2021","1.7956","1.7542","1.8488","1.7368","38.83M","2.29%"
"Oct 15, 2021","1.7555","1.8088","1.8092","1.7315","34.14M","-2.95%"
"Oct 14, 2021","1.8088","1.8359","1.8813","1.7801","34.08M","-1.48%"
"Oct 13, 2021","1.8359","1.7444","1.8442","1.6894","31.14M","5.25%"
"Oct 12, 2021","1.7444","1.7163","1.7557","1.6069","46.04M","1.64%"
"Oct 11, 2021","1.7163","1.7649","1.8318","1.6798","31.55M","-2.93%"
"Oct 10, 2021","1.7680","1.8920","1.8930","1.7612","31.30M","-6.55%"
"Oct 09, 2021","1.8920","1.8989","1.9492","1.8605","32.70M","-0.22%"
"Oct 08, 2021","1.8961","1.8879","1.9996","1.8788","67.30M","0.43%"
"Oct 07, 2021","1.8879","1.8157","1.9384","1.7532","71.27M","3.97%"
"Oct 06, 2021","1.8157","1.9532","1.9855","1.7824","79.02M","-7.04%"
"Oct 05, 2021","1.9532","1.9378","2.0603","1.9205","61.46M","0.80%"
"Oct 04, 2021","1.9378","1.9845","2.0928","1.8890","134.67M","-2.36%"
"Oct 03, 2021","1.9845","1.7722","1.9968","1.7316","82.64M","11.98%"
"Oct 02, 2021","1.7722","1.7739","1.8841","1.7225","60.50M","-0.10%"
