"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","383.40","384.88","385.39","377.31","1.07M","-0.39%"
"Jan 25, 2022","384.88","371.59","387.97","357.79","1.10M","3.58%"
"Jan 24, 2022","371.58","384.10","384.10","336.82","2.04M","-3.26%"
"Jan 23, 2022","384.10","358.30","388.89","356.60","1.37M","7.14%"
"Jan 22, 2022","358.50","384.30","388.99","337.57","2.71M","-6.71%"
"Jan 21, 2022","384.30","440.43","444.31","374.98","1.99M","-12.74%"
"Jan 20, 2022","440.43","462.27","478.29","438.49","1.22M","-4.73%"
"Jan 19, 2022","462.28","471.21","472.80","454.09","626.89K","-1.89%"
"Jan 18, 2022","471.21","475.01","479.31","457.50","749.84K","-0.80%"
"Jan 17, 2022","475.01","498.50","498.98","467.40","805.11K","-4.71%"
"Jan 16, 2022","498.50","494.49","505.59","488.90","549.92K","0.77%"
"Jan 15, 2022","494.67","490.00","500.80","485.30","607.71K","0.95%"
"Jan 14, 2022","490.00","475.12","492.08","468.29","896.28K","3.14%"
"Jan 13, 2022","475.09","487.04","488.90","467.09","994.44K","-2.45%"
"Jan 12, 2022","487.01","463.51","489.60","456.71","883.73K","5.08%"
"Jan 11, 2022","463.48","424.81","467.50","421.50","1.35M","9.10%"
"Jan 10, 2022","424.81","438.60","445.40","407.67","1.29M","-3.14%"
"Jan 09, 2022","438.60","429.32","444.40","427.31","751.21K","2.16%"
"Jan 08, 2022","429.32","447.90","459.30","417.13","1.12M","-4.11%"
"Jan 07, 2022","447.71","472.89","473.70","438.20","1.38M","-5.33%"
"Jan 06, 2022","472.89","473.61","481.30","459.41","1.02M","-0.15%"
"Jan 05, 2022","473.61","506.99","515.81","459.04","1.03M","-6.59%"
"Jan 04, 2022","507.00","511.70","519.70","502.40","724.32K","-0.92%"
"Jan 03, 2022","511.70","531.00","532.60","510.21","700.85K","-3.68%"
"Jan 02, 2022","531.28","527.41","533.59","518.40","435.89K","0.74%"
"Jan 01, 2022","527.40","511.70","527.51","511.60","478.60K","3.07%"
"Dec 31, 2021","511.70","518.50","528.10","507.11","726.07K","-1.31%"
"Dec 30, 2021","518.50","514.50","527.60","508.81","676.81K","0.83%"
"Dec 29, 2021","514.22","534.21","540.40","511.20","776.59K","-3.74%"
"Dec 28, 2021","534.19","563.59","563.60","529.27","1.05M","-5.17%"
"Dec 27, 2021","563.30","546.49","571.60","543.29","844.13K","3.08%"
"Dec 26, 2021","546.49","547.33","549.20","536.39","579.22K","-0.15%"
"Dec 25, 2021","547.33","541.78","550.40","539.67","500.45K","1.02%"
"Dec 24, 2021","541.78","548.70","554.12","537.96","728.05K","-1.26%"
"Dec 23, 2021","548.70","533.43","552.31","524.73","897.97K","2.86%"
"Dec 22, 2021","533.43","528.50","544.50","527.40","778.93K","0.93%"
"Dec 21, 2021","528.50","523.34","535.19","517.51","705.94K","0.99%"
"Dec 20, 2021","523.31","529.90","534.59","506.31","767.19K","-1.24%"
"Dec 19, 2021","529.90","534.19","544.21","527.51","575.84K","-0.81%"
"Dec 18, 2021","534.20","525.90","537.69","516.70","614.60K","1.58%"
"Dec 17, 2021","525.90","526.01","535.42","511.30","959.71K","-0.02%"
"Dec 16, 2021","526.01","541.10","545.02","525.30","777.27K","-2.79%"
"Dec 15, 2021","541.10","528.30","546.23","502.09","1.23M","2.42%"
"Dec 14, 2021","528.30","520.88","535.68","510.21","1.37M","1.42%"
"Dec 13, 2021","520.88","570.51","572.11","512.07","1.11M","-8.70%"
"Dec 12, 2021","570.51","563.24","574.01","559.51","594.62K","1.29%"
"Dec 11, 2021","563.24","552.53","572.16","542.33","1.02M","1.94%"
"Dec 10, 2021","552.53","570.77","594.92","551.46","1.19M","-3.20%"
"Dec 09, 2021","570.78","606.90","616.24","567.92","1.20M","-5.95%"
"Dec 08, 2021","606.90","578.69","607.49","567.51","1.22M","4.87%"
"Dec 07, 2021","578.70","588.59","593.41","572.30","1.11M","-1.68%"
"Dec 06, 2021","588.59","557.61","592.61","533.30","2.16M","5.56%"
"Dec 05, 2021","557.60","568.60","581.81","542.72","1.30M","-1.94%"
"Dec 04, 2021","568.62","594.62","595.90","495.12","2.71M","-4.37%"
"Dec 03, 2021","594.62","620.21","627.80","576.78","1.33M","-4.13%"
"Dec 02, 2021","620.21","627.32","629.72","605.61","1.17M","-1.13%"
"Dec 01, 2021","627.32","621.51","649.59","618.72","1.46M","0.66%"
"Nov 30, 2021","623.23","623.60","634.52","603.71","1.46M","-0.06%"
"Nov 29, 2021","623.61","611.58","628.62","601.99","1.15M","1.96%"
"Nov 28, 2021","611.61","600.30","612.57","573.96","1.36M","1.88%"
"Nov 27, 2021","600.30","587.62","621.19","584.30","1.27M","2.62%"
"Nov 26, 2021","584.96","639.17","657.70","564.63","2.54M","-8.43%"
"Nov 25, 2021","638.79","590.61","646.51","587.72","1.62M","8.16%"
"Nov 24, 2021","590.61","591.10","593.89","577.40","1.14M","-0.12%"
"Nov 23, 2021","591.30","559.69","604.80","558.30","1.26M","5.65%"
"Nov 22, 2021","559.69","585.14","585.14","554.30","1.20M","-4.35%"
"Nov 21, 2021","585.14","604.28","604.91","580.11","1.03M","-3.17%"
"Nov 20, 2021","604.28","581.00","604.70","573.58","1.18M","3.99%"
"Nov 19, 2021","581.09","531.89","585.39","524.70","1.38M","9.11%"
"Nov 18, 2021","532.56","578.30","587.90","517.13","1.82M","-7.91%"
"Nov 17, 2021","578.31","588.91","592.50","554.64","1.55M","-1.80%"
"Nov 16, 2021","588.91","633.81","634.51","574.03","2.30M","-7.04%"
"Nov 15, 2021","633.51","650.80","659.20","631.30","992.20K","-2.66%"
"Nov 14, 2021","650.80","649.50","660.20","634.81","987.16K","0.20%"
"Nov 13, 2021","649.50","626.92","654.70","620.80","944.98K","3.60%"
"Nov 12, 2021","626.91","627.91","634.50","603.90","1.07M","-0.30%"
"Nov 11, 2021","628.80","614.80","634.80","606.01","1.07M","2.28%"
"Nov 10, 2021","614.81","634.90","662.60","575.72","1.89M","-3.06%"
"Nov 09, 2021","634.24","653.79","656.68","632.11","930.88K","-2.99%"
"Nov 08, 2021","653.79","649.50","655.49","631.70","1.35M","0.66%"
"Nov 07, 2021","649.50","636.30","668.80","630.91","1.54M","2.07%"
"Nov 06, 2021","636.30","607.31","636.30","595.99","1.43M","4.77%"
"Nov 05, 2021","607.31","558.70","614.61","554.42","2.12M","8.61%"
"Nov 04, 2021","559.16","568.48","568.69","543.82","1.15M","-1.63%"
"Nov 03, 2021","568.40","554.28","569.87","537.61","1.38M","2.55%"
"Nov 02, 2021","554.28","551.50","563.70","537.62","1.28M","0.50%"
"Nov 01, 2021","551.53","524.65","551.91","511.74","1.44M","5.16%"
"Oct 31, 2021","524.46","528.20","534.89","509.32","1.16M","-0.71%"
"Oct 30, 2021","528.20","529.61","540.31","512.18","1.19M","-0.25%"
"Oct 29, 2021","529.52","492.09","533.60","488.99","1.57M","7.61%"
"Oct 28, 2021","492.09","448.70","494.69","446.60","1.69M","9.67%"
"Oct 27, 2021","448.69","478.02","486.29","438.55","1.51M","-6.13%"
"Oct 26, 2021","478.01","484.91","489.58","474.17","795.25K","-1.42%"
"Oct 25, 2021","484.91","475.70","488.58","474.82","720.34K","1.92%"
"Oct 24, 2021","475.80","485.41","486.42","468.02","668.75K","-1.98%"
"Oct 23, 2021","485.41","478.83","485.41","472.91","597.10K","1.38%"
"Oct 22, 2021","478.83","470.92","497.89","470.92","1.23M","1.64%"
"Oct 21, 2021","471.10","501.30","504.79","467.26","2.02M","-5.99%"
"Oct 20, 2021","501.11","488.10","505.62","482.35","1.05M","2.67%"
"Oct 19, 2021","488.10","485.00","497.40","481.10","1.01M","0.64%"
"Oct 18, 2021","485.00","470.91","487.20","467.22","1.20M","3.04%"
"Oct 17, 2021","470.71","465.12","472.40","455.77","978.52K","1.20%"
"Oct 16, 2021","465.12","474.31","484.40","462.43","1.14M","-1.94%"
"Oct 15, 2021","474.31","472.42","477.41","452.85","1.64M","0.40%"
"Oct 14, 2021","472.42","470.41","482.59","461.80","1.56M","0.43%"
"Oct 13, 2021","470.41","444.39","471.60","434.08","3.59M","6.03%"
"Oct 12, 2021","443.65","413.39","444.01","392.49","2.12M","7.32%"
"Oct 11, 2021","413.38","404.19","423.86","400.42","836.99K","2.27%"
"Oct 10, 2021","404.19","421.72","422.18","402.41","802.32K","-4.15%"
"Oct 09, 2021","421.69","418.70","425.88","416.51","695.80K","0.71%"
"Oct 08, 2021","418.70","438.21","441.59","416.00","1.65M","-4.45%"
"Oct 07, 2021","438.21","434.79","449.89","424.11","1.28M","0.76%"
"Oct 06, 2021","434.88","442.19","442.79","414.91","1.36M","-1.66%"
"Oct 05, 2021","442.21","426.39","443.90","424.21","973.60K","3.69%"
"Oct 04, 2021","426.48","430.32","430.87","411.61","1.07M","-0.89%"
"Oct 03, 2021","430.32","427.18","436.89","422.34","936.53K","0.73%"
"Oct 02, 2021","427.22","421.31","438.00","410.80","1.22M","1.40%"
"Oct 01, 2021","421.31","387.59","423.30","381.79","1.57M","8.70%"
"Sep 30, 2021","387.59","367.49","388.49","366.49","1.25M","5.47%"
"Sep 29, 2021","367.51","332.91","375.01","331.57","1.85M","10.38%"
"Sep 28, 2021","332.94","335.32","344.41","330.01","1.02M","-0.71%"
"Sep 27, 2021","335.32","344.52","357.50","335.30","1.04M","-2.67%"
"Sep 26, 2021","344.53","349.51","352.62","320.10","1.69M","-1.43%"
"Sep 25, 2021","349.51","355.10","360.49","343.72","967.04K","-1.57%"
"Sep 24, 2021","355.10","383.53","384.99","334.67","1.79M","-7.44%"
"Sep 23, 2021","383.63","378.82","384.49","369.21","1.04M","1.27%"
"Sep 22, 2021","378.83","343.36","379.89","342.42","1.15M","10.35%"
"Sep 21, 2021","343.30","364.17","375.69","337.35","1.71M","-5.58%"
"Sep 20, 2021","363.60","408.39","409.60","355.33","2.02M","-10.97%"
"Sep 19, 2021","408.39","410.70","418.95","403.45","819.71K","-0.56%"
"Sep 18, 2021","410.70","406.22","419.87","401.63","810.07K","1.11%"
"Sep 17, 2021","406.21","424.22","425.79","401.37","923.27K","-4.24%"
"Sep 16, 2021","424.22","431.20","433.90","415.99","1.12M","-1.60%"
"Sep 15, 2021","431.10","414.29","436.39","410.10","1.27M","4.06%"
"Sep 14, 2021","414.29","399.00","414.29","396.11","997.13K","3.83%"
"Sep 13, 2021","399.00","416.98","419.39","385.32","1.62M","-4.31%"
"Sep 12, 2021","416.99","405.10","421.29","398.00","1.03M","2.94%"
"Sep 11, 2021","405.10","401.10","415.09","399.52","967.25K","1.00%"
"Sep 10, 2021","401.10","421.20","438.89","393.91","1.59M","-4.77%"
"Sep 09, 2021","421.20","414.61","435.59","404.11","1.60M","1.59%"
"Sep 08, 2021","414.60","417.32","425.48","383.71","2.17M","-0.65%"
"Sep 07, 2021","417.31","496.11","504.58","373.12","3.54M","-15.88%"
"Sep 06, 2021","496.11","504.49","508.86","487.85","1.18M","-1.66%"
"Sep 05, 2021","504.49","497.40","505.17","488.91","926.28K","1.43%"
"Sep 04, 2021","497.40","488.49","509.75","485.62","1.31M","1.88%"
"Sep 03, 2021","488.20","483.84","494.49","473.55","1.15M","0.90%"
"Sep 02, 2021","483.84","489.39","504.56","478.16","1.29M","-1.21%"
"Sep 01, 2021","489.78","464.29","489.98","455.51","1.36M","5.49%"
"Aug 31, 2021","464.29","460.10","477.08","452.50","1.52M","0.91%"
"Aug 30, 2021","460.10","479.82","480.87","457.43","1.16M","-4.07%"
"Aug 29, 2021","479.63","486.00","495.47","476.81","945.02K","-1.31%"
"Aug 28, 2021","486.01","494.48","496.78","482.71","925.23K","-1.71%"
"Aug 27, 2021","494.48","477.83","494.88","467.52","1.60M","3.48%"
"Aug 26, 2021","477.83","503.44","518.58","472.73","2.29M","-5.09%"
"Aug 25, 2021","503.44","471.95","506.84","470.14","2.30M","6.67%"
"Aug 24, 2021","471.95","499.79","504.05","461.33","2.14M","-5.57%"
"Aug 23, 2021","499.79","448.68","508.85","447.02","2.72M","11.39%"
"Aug 22, 2021","448.68","448.64","458.23","438.03","1.17M","0.01%"
"Aug 21, 2021","448.64","454.89","459.99","444.81","1.47M","-1.37%"
"Aug 20, 2021","454.87","431.42","457.54","421.98","1.73M","5.44%"
"Aug 19, 2021","431.42","396.44","431.42","391.07","1.89M","8.81%"
"Aug 18, 2021","396.48","401.94","412.07","386.69","1.81M","-1.36%"
"Aug 17, 2021","401.94","416.08","435.64","399.39","2.04M","-3.40%"
"Aug 16, 2021","416.08","414.10","436.64","411.06","1.90M","0.48%"
"Aug 15, 2021","414.10","408.91","414.88","396.65","1.28M","1.27%"
"Aug 14, 2021","408.91","410.89","418.76","400.43","1.49M","-0.48%"
"Aug 13, 2021","410.90","385.51","411.03","383.00","1.30M","6.59%"
"Aug 12, 2021","385.51","391.48","406.08","371.80","1.90M","-1.52%"
"Aug 11, 2021","391.48","371.90","408.17","371.12","1.97M","5.26%"
"Aug 10, 2021","371.90","354.50","376.20","348.97","1.71M","4.91%"
"Aug 09, 2021","354.50","341.83","357.34","333.53","1.33M","3.70%"
"Aug 08, 2021","341.83","356.18","359.78","337.08","1.32M","-4.06%"
"Aug 07, 2021","356.28","342.08","359.58","340.65","1.59M","4.15%"
"Aug 06, 2021","342.08","337.88","347.00","331.43","1.31M","1.24%"
"Aug 05, 2021","337.88","334.89","339.91","323.71","1.30M","0.89%"
"Aug 04, 2021","334.89","323.39","337.04","319.97","1.01M","3.62%"
"Aug 03, 2021","323.19","330.86","334.61","317.70","1.18M","-2.32%"
"Aug 02, 2021","330.86","332.76","338.06","326.39","1.15M","-0.58%"
"Aug 01, 2021","332.78","332.32","347.44","329.82","1.70M","0.11%"
"Jul 31, 2021","332.41","322.61","337.95","317.64","1.55M","3.03%"
"Jul 30, 2021","322.63","316.72","325.26","306.75","1.45M","1.87%"
"Jul 29, 2021","316.72","313.76","319.97","309.08","1.13M","0.94%"
"Jul 28, 2021","313.76","313.69","318.59","308.53","1.47M","0.03%"
"Jul 27, 2021","313.67","304.31","318.25","298.53","1.89M","3.08%"
"Jul 26, 2021","304.31","302.60","327.62","301.19","2.86M","0.58%"
"Jul 25, 2021","302.57","302.55","303.09","292.85","1.25M","-0.19%"
"Jul 24, 2021","303.15","298.91","305.01","296.16","1.81M","1.42%"
"Jul 23, 2021","298.89","293.51","301.15","281.68","1.98M","1.83%"
"Jul 22, 2021","293.53","293.08","297.69","287.55","1.47M","0.15%"
"Jul 21, 2021","293.08","264.59","298.69","261.51","2.18M","10.77%"
"Jul 20, 2021","264.59","280.48","283.25","255.79","2.25M","-5.66%"
"Jul 19, 2021","280.47","302.16","303.49","279.38","1.63M","-7.18%"
"Jul 18, 2021","302.18","300.34","309.00","299.60","1.03M","0.62%"
"Jul 17, 2021","300.31","302.88","306.41","295.11","1.31M","-0.84%"
"Jul 16, 2021","302.84","315.62","323.21","301.85","1.77M","-4.04%"
"Jul 15, 2021","315.58","309.49","324.15","301.92","2.49M","1.98%"
"Jul 14, 2021","309.45","308.96","313.29","290.93","1.65M","0.15%"
"Jul 13, 2021","308.98","316.15","318.16","305.35","1.08M","-2.27%"
"Jul 12, 2021","316.17","321.91","334.34","308.77","1.52M","-1.77%"
"Jul 11, 2021","321.88","316.07","326.55","312.28","929.54K","1.84%"
"Jul 10, 2021","316.07","316.77","321.20","310.82","958.95K","-0.22%"
"Jul 09, 2021","316.77","310.52","319.48","302.28","1.28M","2.01%"
"Jul 08, 2021","310.52","327.65","328.17","307.04","1.89M","-5.24%"
"Jul 07, 2021","327.68","320.01","339.36","318.33","2.02M","2.39%"
"Jul 06, 2021","320.02","302.01","321.89","301.95","2.34M","5.86%"
"Jul 05, 2021","302.31","307.88","307.88","292.40","1.62M","-1.81%"
"Jul 04, 2021","307.88","299.25","314.73","299.10","1.50M","2.88%"
"Jul 03, 2021","299.25","287.37","302.93","283.06","1.11M","4.13%"
"Jul 02, 2021","287.38","287.64","290.58","276.78","1.18M","-0.09%"
"Jul 01, 2021","287.63","303.24","303.41","281.40","1.62M","-5.15%"
"Jun 30, 2021","303.25","299.88","304.71","281.84","2.36M","1.12%"
"Jun 29, 2021","299.88","289.85","315.04","289.27","2.43M","3.47%"
"Jun 28, 2021","289.83","290.87","298.93","283.91","2.16M","-0.35%"
"Jun 27, 2021","290.86","279.45","291.08","270.00","1.79M","4.08%"
"Jun 26, 2021","279.45","281.15","290.05","264.47","2.63M","-0.60%"
"Jun 25, 2021","281.13","308.57","314.08","275.62","3.26M","-8.81%"
"Jun 24, 2021","308.31","296.13","316.20","281.74","3.12M","4.11%"
"Jun 23, 2021","296.14","261.47","309.45","251.90","4.07M","13.27%"
"Jun 22, 2021","261.45","271.81","290.65","225.93","6.75M","-3.80%"
"Jun 21, 2021","271.80","339.09","341.52","269.45","4.55M","-19.94%"
"Jun 20, 2021","339.47","334.15","340.38","310.54","1.99M","1.58%"
"Jun 19, 2021","334.19","336.71","344.33","331.88","1.33M","-0.74%"
"Jun 18, 2021","336.67","352.66","357.03","327.39","1.95M","-4.53%"
"Jun 17, 2021","352.64","347.14","362.36","346.18","1.53M","1.58%"
"Jun 16, 2021","347.15","366.77","366.77","343.49","1.89M","-5.35%"
"Jun 15, 2021","366.78","370.08","379.49","363.84","1.90M","-0.89%"
"Jun 14, 2021","370.06","365.83","377.02","355.23","2.42M","1.16%"
"Jun 13, 2021","365.83","343.26","369.00","330.64","2.39M","6.58%"
"Jun 12, 2021","343.23","345.59","348.75","325.63","2.55M","-0.65%"
"Jun 11, 2021","345.46","351.46","365.51","341.53","2.71M","-1.70%"
"Jun 10, 2021","351.43","375.53","376.81","344.96","2.96M","-6.36%"
"Jun 09, 2021","375.29","352.54","378.44","333.69","4.24M","6.42%"
"Jun 08, 2021","352.64","358.05","365.89","320.39","5.99M","-1.52%"
"Jun 07, 2021","358.08","393.23","406.99","354.55","3.60M","-8.93%"
"Jun 06, 2021","393.20","390.09","399.82","382.07","2.27M","0.80%"
"Jun 05, 2021","390.09","390.68","425.57","374.62","4.79M","-0.23%"
"Jun 04, 2021","390.97","428.47","428.71","366.56","5.92M","-8.56%"
"Jun 03, 2021","427.59","401.13","432.58","391.83","5.06M","6.60%"
"Jun 02, 2021","401.12","362.39","417.41","351.19","5.26M","10.69%"
"Jun 01, 2021","362.39","353.63","364.16","340.56","4.42M","2.45%"
"May 31, 2021","353.74","325.60","355.43","307.90","4.97M","8.65%"
"May 30, 2021","325.59","304.81","337.77","291.72","4.52M","6.83%"
"May 29, 2021","304.76","329.31","346.88","296.43","4.57M","-7.45%"
"May 28, 2021","329.31","369.79","373.28","313.42","6.31M","-10.38%"
"May 27, 2021","367.46","379.20","387.17","340.81","5.18M","-3.10%"
"May 26, 2021","379.22","343.76","387.25","337.40","5.82M","10.31%"
"May 25, 2021","343.77","345.44","374.86","307.55","7.93M","-0.36%"
"May 24, 2021","345.02","261.56","349.89","257.97","8.07M","31.90%"
"May 23, 2021","261.57","299.25","312.85","212.41","9.23M","-12.59%"
"May 22, 2021","299.25","326.44","334.69","286.50","5.57M","-8.33%"
"May 21, 2021","326.44","391.12","414.79","276.78","9.21M","-16.86%"
"May 20, 2021","392.64","335.09","423.50","287.48","8.49M","17.16%"
"May 19, 2021","335.12","508.27","515.55","282.30","11.92M","-34.07%"
"May 18, 2021","508.28","511.79","533.45","496.65","2.86M","-0.68%"
"May 17, 2021","511.76","563.37","563.38","484.30","4.24M","-9.17%"
"May 16, 2021","563.41","562.84","606.53","535.01","3.07M","0.10%"
"May 15, 2021","562.85","602.44","610.39","560.58","2.38M","-6.57%"
"May 14, 2021","602.46","571.76","614.69","566.69","2.30M","5.37%"
"May 13, 2021","571.76","585.61","632.91","527.16","5.74M","-2.36%"
"May 12, 2021","585.60","671.61","684.51","585.35","2.92M","-12.89%"
"May 11, 2021","672.26","631.66","672.98","622.87","2.78M","6.42%"
"May 10, 2021","631.68","661.65","690.87","592.52","3.24M","-4.53%"
"May 09, 2021","661.65","646.17","678.27","631.44","2.45M","2.39%"
"May 08, 2021","646.18","624.35","657.77","618.73","2.33M","3.55%"
"May 07, 2021","624.02","633.99","644.14","612.12","2.26M","-1.46%"
"May 06, 2021","633.28","650.81","653.58","620.02","2.35M","-2.72%"
"May 05, 2021","650.99","620.81","656.35","620.55","2.55M","5.01%"
"May 04, 2021","619.96","676.25","677.67","619.79","4.13M","-8.37%"
"May 03, 2021","676.56","621.96","679.98","621.56","3.14M","8.78%"
"May 02, 2021","621.95","619.91","628.93","595.75","2.35M","0.34%"
"May 01, 2021","619.84","623.25","643.21","611.49","2.72M","-0.56%"
"Apr 30, 2021","623.33","599.89","627.71","586.03","3.75M","3.82%"
"Apr 29, 2021","600.38","563.22","614.64","554.73","4.73M","6.74%"
"Apr 28, 2021","562.49","568.80","578.80","539.59","2.67M","-1.11%"
"Apr 27, 2021","568.80","535.22","578.33","525.76","2.95M","6.27%"
"Apr 26, 2021","535.23","504.29","549.96","502.41","3.25M","6.14%"
"Apr 25, 2021","504.29","497.46","516.91","479.40","2.64M","1.37%"
"Apr 24, 2021","497.50","526.52","527.18","483.39","3.16M","-5.52%"
