"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","0.9996","0.9994","0.9998","0.9994","1.04B","0.01%"
"Jan 25, 2022","0.9994","0.9997","0.9998","0.9994","858.69M","-0.02%"
"Jan 24, 2022","0.9997","0.9998","0.9999","0.9992","1.29B","-0.01%"
"Jan 23, 2022","0.9998","1.0000","1.0000","0.9997","636.37M","-0.02%"
"Jan 22, 2022","1.0000","0.9998","1.0000","0.9996","1.04B","0.03%"
"Jan 21, 2022","0.9997","0.9997","1.0000","0.9997","974.39M","-0.01%"
"Jan 20, 2022","0.9997","0.9997","0.9999","0.9996","579.51M","0.01%"
"Jan 19, 2022","0.9997","0.9997","0.9998","0.9996","548.04M","0.00%"
"Jan 18, 2022","0.9997","0.9997","0.9999","0.9996","619.79M","0.00%"
"Jan 17, 2022","0.9997","0.9995","0.9998","0.9995","609.85M","0.01%"
"Jan 16, 2022","0.9995","0.9995","0.9997","0.9995","454.77M","0.00%"
"Jan 15, 2022","0.9995","0.9995","0.9997","0.9995","402.43M","0.00%"
"Jan 14, 2022","0.9995","0.9997","0.9998","0.9995","733.38M","-0.01%"
"Jan 13, 2022","0.9997","0.9996","0.9998","0.9995","696.06M","-0.01%"
"Jan 12, 2022","0.9997","0.9997","0.9998","0.9996","730.94M","0.01%"
"Jan 11, 2022","0.9997","0.9999","1.0000","0.9997","582.23M","-0.03%"
"Jan 10, 2022","1.0000","0.9999","1.0000","0.9998","567.51M","0.00%"
"Jan 09, 2022","1.0000","0.9999","1.0001","0.9998","405.87M","0.01%"
"Jan 08, 2022","0.9999","1.0001","1.0003","0.9998","540.89M","-0.02%"
"Jan 07, 2022","1.0001","1.0002","1.0004","0.9999","822.94M","-0.01%"
"Jan 06, 2022","1.0002","1.0000","1.0005","1.0000","715.88M","0.01%"
"Jan 05, 2022","1.0001","1.0000","1.0002","0.9991","808.44M","0.00%"
"Jan 04, 2022","1.0000","0.9998","1.0003","0.9979","627.38M","0.02%"
"Jan 03, 2022","0.9998","0.9998","1.0000","0.9996","524.01M","0.00%"
"Jan 02, 2022","0.9998","0.9997","0.9999","0.9993","295.63M","0.01%"
"Jan 01, 2022","0.9997","0.9999","1.0000","0.9990","407.84M","-0.02%"
"Dec 31, 2021","0.9999","0.9999","1.0001","0.9998","693.66M","0.00%"
