"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","15.89","15.50","16.02","15.21","7.96M","2.52%"
"Jan 25, 2022","15.50","15.58","16.01","14.61","8.79M","-0.44%"
"Jan 24, 2022","15.57","16.64","16.64","13.50","17.63M","-6.43%"
"Jan 23, 2022","16.64","15.87","16.79","15.15","11.15M","4.85%"
"Jan 22, 2022","15.87","17.42","17.80","14.29","22.15M","-8.91%"
"Jan 21, 2022","17.42","20.22","20.48","17.13","16.90M","-13.83%"
"Jan 20, 2022","20.22","21.54","22.97","20.05","6.52M","-6.14%"
"Jan 19, 2022","21.54","22.96","23.15","21.23","6.76M","-6.35%"
"Jan 18, 2022","23.00","23.80","24.33","22.07","5.94M","-3.44%"
"Jan 17, 2022","23.82","25.50","25.62","23.30","5.36M","-6.58%"
"Jan 16, 2022","25.50","25.18","26.34","24.73","5.26M","1.25%"
"Jan 15, 2022","25.18","25.73","26.20","25.16","5.02M","-2.13%"
"Jan 14, 2022","25.73","24.84","25.87","23.93","7.48M","3.60%"
"Jan 13, 2022","24.84","26.73","26.74","24.45","9.29M","-7.09%"
"Jan 12, 2022","26.73","26.60","27.23","25.64","11.94M","0.50%"
"Jan 11, 2022","26.60","28.02","28.69","25.88","15.50M","-5.08%"
"Jan 10, 2022","28.02","27.52","28.48","25.13","21.36M","1.82%"
"Jan 09, 2022","27.52","25.32","28.63","25.15","21.15M","8.69%"
"Jan 08, 2022","25.32","25.92","27.32","23.57","17.83M","-2.27%"
"Jan 07, 2022","25.91","25.38","27.27","22.69","25.45M","2.04%"
"Jan 06, 2022","25.39","25.17","25.97","23.39","20.13M","0.92%"
"Jan 05, 2022","25.16","23.45","27.44","22.39","27.66M","7.30%"
"Jan 04, 2022","23.45","23.71","24.47","22.79","12.63M","-1.14%"
"Jan 03, 2022","23.72","21.89","23.74","21.26","9.54M","8.38%"
"Jan 02, 2022","21.89","20.75","22.20","20.58","6.33M","5.48%"
"Jan 01, 2022","20.75","19.53","20.77","19.52","4.38M","6.24%"
"Dec 31, 2021","19.53","19.95","20.61","19.04","7.02M","-2.11%"
"Dec 30, 2021","19.95","19.72","20.41","19.18","7.06M","1.18%"
"Dec 29, 2021","19.72","20.34","20.96","19.54","8.33M","-3.06%"
"Dec 28, 2021","20.34","22.99","23.01","20.34","10.86M","-11.53%"
"Dec 27, 2021","22.99","22.97","24.45","22.78","7.66M","0.08%"
"Dec 26, 2021","22.97","22.10","23.55","21.13","7.92M","3.94%"
"Dec 25, 2021","22.10","21.46","22.38","21.31","3.88M","2.99%"
"Dec 24, 2021","21.46","22.15","22.63","21.24","6.64M","-3.11%"
"Dec 23, 2021","22.15","19.92","22.21","19.57","9.12M","11.29%"
"Dec 22, 2021","19.90","19.42","20.80","19.22","6.00M","2.47%"
"Dec 21, 2021","19.42","18.79","19.65","18.37","4.32M","3.56%"
"Dec 20, 2021","18.75","18.87","19.19","18.04","6.24M","-0.63%"
"Dec 19, 2021","18.87","19.54","20.36","18.82","6.22M","-3.42%"
"Dec 18, 2021","19.54","18.27","19.96","17.84","6.65M","6.96%"
"Dec 17, 2021","18.27","18.76","19.21","17.77","6.86M","-2.71%"
"Dec 16, 2021","18.78","19.69","20.31","18.70","6.03M","-4.65%"
"Dec 15, 2021","19.69","18.43","19.97","17.27","8.96M","6.70%"
"Dec 14, 2021","18.46","17.78","18.60","17.49","6.98M","3.77%"
"Dec 13, 2021","17.79","20.41","20.56","17.31","9.09M","-12.98%"
"Dec 12, 2021","20.44","19.91","20.79","19.25","4.20M","2.66%"
"Dec 11, 2021","19.91","18.55","20.20","18.19","7.82M","7.46%"
"Dec 10, 2021","18.53","20.27","20.86","18.49","10.59M","-8.59%"
"Dec 09, 2021","20.27","22.91","23.03","20.27","11.57M","-11.51%"
"Dec 08, 2021","22.91","21.07","23.18","20.76","14.94M","8.70%"
"Dec 07, 2021","21.07","19.81","21.13","19.72","9.94M","6.32%"
"Dec 06, 2021","19.82","19.48","19.92","17.23","11.48M","1.75%"
"Dec 05, 2021","19.48","20.70","20.90","18.50","9.57M","-5.91%"
"Dec 04, 2021","20.70","23.32","23.33","15.52","27.36M","-11.20%"
"Dec 03, 2021","23.32","24.55","25.84","22.53","7.57M","-4.98%"
"Dec 02, 2021","24.54","25.33","25.33","24.20","5.01M","-3.19%"
"Dec 01, 2021","25.35","25.32","26.89","24.99","5.78M","0.14%"
"Nov 30, 2021","25.31","24.98","26.51","24.15","7.21M","1.33%"
"Nov 29, 2021","24.98","24.76","25.54","24.57","5.79M","0.65%"
"Nov 28, 2021","24.82","24.09","24.94","22.72","6.04M","3.02%"
"Nov 27, 2021","24.09","23.90","24.94","23.80","4.80M","0.81%"
"Nov 26, 2021","23.90","26.38","26.58","22.94","13.20M","-9.38%"
"Nov 25, 2021","26.37","25.59","27.56","25.39","7.07M","2.99%"
"Nov 24, 2021","25.60","26.95","27.14","25.17","6.29M","-5.01%"
"Nov 23, 2021","26.95","26.78","27.57","26.20","6.05M","0.66%"
"Nov 22, 2021","26.78","29.02","29.06","26.33","6.05M","-7.72%"
"Nov 21, 2021","29.02","28.35","29.24","27.70","4.96M","2.34%"
"Nov 20, 2021","28.35","28.25","28.72","27.27","5.40M","0.35%"
"Nov 19, 2021","28.25","26.60","28.84","26.10","6.34M","6.20%"
"Nov 18, 2021","26.60","29.19","29.68","25.87","8.77M","-8.92%"
"Nov 17, 2021","29.21","29.19","29.73","28.05","6.48M","0.06%"
"Nov 16, 2021","29.19","32.04","32.05","28.06","13.23M","-8.91%"
"Nov 15, 2021","32.04","33.75","34.50","32.00","5.05M","-5.06%"
"Nov 14, 2021","33.75","34.00","34.41","32.54","3.52M","-0.75%"
"Nov 13, 2021","34.00","34.25","34.58","33.20","4.03M","-0.73%"
"Nov 12, 2021","34.25","34.71","35.45","32.73","8.14M","-1.35%"
"Nov 11, 2021","34.72","34.27","36.92","33.45","9.77M","1.31%"
"Nov 10, 2021","34.27","33.80","38.19","32.07","17.49M","1.40%"
"Nov 09, 2021","33.80","34.46","35.60","33.46","6.93M","-1.90%"
"Nov 08, 2021","34.46","32.30","34.80","32.21","7.65M","6.68%"
"Nov 07, 2021","32.30","32.04","32.58","31.71","3.52M","0.81%"
"Nov 06, 2021","32.04","32.87","33.19","30.76","5.43M","-2.52%"
"Nov 05, 2021","32.87","31.01","33.69","30.67","9.10M","5.99%"
"Nov 04, 2021","31.01","31.96","32.10","30.26","4.59M","-2.98%"
"Nov 03, 2021","31.96","32.24","32.78","30.57","6.37M","-0.86%"
"Nov 02, 2021","32.24","31.68","32.47","31.02","5.86M","1.82%"
"Nov 01, 2021","31.66","30.00","31.85","29.17","6.50M","5.55%"
"Oct 31, 2021","30.00","29.75","30.63","28.68","5.66M","0.83%"
"Oct 30, 2021","29.75","30.92","31.12","29.18","4.81M","-3.74%"
"Oct 29, 2021","30.91","30.19","31.96","29.97","7.21M","2.36%"
"Oct 28, 2021","30.19","28.86","30.84","28.66","9.77M","4.61%"
"Oct 27, 2021","28.86","32.51","33.89","27.92","16.02M","-11.22%"
"Oct 26, 2021","32.51","32.39","33.80","31.32","8.44M","0.29%"
"Oct 25, 2021","32.42","29.71","32.90","29.54","9.72M","9.12%"
"Oct 24, 2021","29.71","31.39","31.52","28.76","7.39M","-5.35%"
"Oct 23, 2021","31.39","28.66","31.44","28.33","10.49M","9.51%"
"Oct 22, 2021","28.66","28.26","30.00","28.12","9.90M","1.41%"
"Oct 21, 2021","28.26","27.48","29.32","27.30","12.70M","2.89%"
"Oct 20, 2021","27.47","25.91","27.63","25.87","5.72M","5.92%"
"Oct 19, 2021","25.93","25.70","26.27","25.38","4.66M","0.89%"
"Oct 18, 2021","25.70","26.54","26.73","25.28","5.62M","-3.15%"
"Oct 17, 2021","26.54","27.22","27.60","25.64","6.01M","-2.41%"
"Oct 16, 2021","27.19","26.99","28.66","26.96","8.42M","0.74%"
"Oct 15, 2021","26.99","26.70","27.37","26.01","9.74M","1.11%"
"Oct 14, 2021","26.70","25.66","27.81","25.39","10.07M","4.04%"
"Oct 13, 2021","25.66","24.61","25.66","24.20","8.11M","4.28%"
"Oct 12, 2021","24.61","25.24","25.24","23.56","7.20M","-2.51%"
"Oct 11, 2021","25.24","25.55","26.73","24.64","5.58M","-1.29%"
"Oct 10, 2021","25.57","27.44","27.48","25.48","5.19M","-6.81%"
"Oct 09, 2021","27.44","26.38","27.83","26.07","6.29M","4.10%"
"Oct 08, 2021","26.36","26.83","27.44","26.16","6.53M","-1.68%"
"Oct 07, 2021","26.81","26.80","27.68","25.92","8.02M","0.07%"
"Oct 06, 2021","26.79","27.24","28.17","25.21","9.46M","-1.67%"
"Oct 05, 2021","27.24","26.61","27.46","26.24","6.69M","2.37%"
"Oct 04, 2021","26.61","27.57","27.64","25.63","7.34M","-3.47%"
"Oct 03, 2021","27.57","26.90","28.14","26.53","6.21M","2.45%"
"Oct 02, 2021","26.91","26.31","27.80","25.82","7.43M","2.29%"
"Oct 01, 2021","26.31","23.99","26.63","23.59","10.56M","9.58%"
"Sep 30, 2021","24.01","22.84","24.37","22.72","7.60M","4.87%"
"Sep 29, 2021","22.89","22.11","23.90","22.02","7.75M","3.52%"
"Sep 28, 2021","22.11","23.02","23.73","22.01","8.95M","-3.92%"
"Sep 27, 2021","23.02","24.60","25.45","22.98","8.24M","-6.44%"
"Sep 26, 2021","24.60","24.50","25.35","22.37","18.09M","0.40%"
"Sep 25, 2021","24.50","23.26","24.69","22.05","10.11M","5.30%"
"Sep 24, 2021","23.27","25.41","25.49","21.38","15.03M","-8.42%"
"Sep 23, 2021","25.41","24.45","25.47","23.41","9.69M","3.90%"
"Sep 22, 2021","24.46","21.40","24.50","21.03","11.06M","14.26%"
"Sep 21, 2021","21.40","23.56","24.34","20.87","16.68M","-9.14%"
"Sep 20, 2021","23.56","27.40","27.41","23.04","17.71M","-14.04%"
"Sep 19, 2021","27.40","28.39","28.79","26.96","5.45M","-3.48%"
"Sep 18, 2021","28.39","27.71","29.44","27.40","6.35M","2.55%"
"Sep 17, 2021","27.68","29.81","30.10","27.40","10.07M","-7.13%"
"Sep 16, 2021","29.81","30.68","32.09","29.06","12.80M","-2.84%"
"Sep 15, 2021","30.68","30.80","31.43","29.65","13.70M","-0.40%"
"Sep 14, 2021","30.81","26.95","30.81","26.74","14.56M","14.34%"
"Sep 13, 2021","26.94","29.43","29.92","25.25","19.52M","-8.54%"
"Sep 12, 2021","29.46","27.00","29.75","26.39","10.11M","9.17%"
"Sep 11, 2021","26.98","26.36","27.65","26.28","7.19M","2.39%"
"Sep 10, 2021","26.35","28.00","29.54","25.70","14.91M","-5.85%"
"Sep 09, 2021","27.99","27.16","30.06","26.50","15.28M","3.16%"
"Sep 08, 2021","27.13","28.10","29.17","25.21","19.84M","-3.45%"
"Sep 07, 2021","28.10","34.81","35.32","23.99","33.95M","-19.26%"
"Sep 06, 2021","34.81","33.57","36.31","32.61","15.84M","3.61%"
"Sep 05, 2021","33.60","29.89","33.60","29.55","9.15M","12.40%"
"Sep 04, 2021","29.89","30.77","31.17","29.44","6.37M","-2.86%"
"Sep 03, 2021","30.77","29.95","31.73","29.09","10.39M","2.74%"
"Sep 02, 2021","29.95","29.73","30.87","28.77","10.46M","0.72%"
"Sep 01, 2021","29.74","26.70","29.78","26.11","12.52M","11.27%"
"Aug 31, 2021","26.72","25.04","27.46","24.72","11.98M","6.71%"
"Aug 30, 2021","25.04","25.76","26.47","24.38","6.93M","-2.79%"
"Aug 29, 2021","25.76","25.73","26.57","25.16","5.19M","0.17%"
"Aug 28, 2021","25.72","26.04","26.18","25.38","4.36M","-1.25%"
"Aug 27, 2021","26.04","24.39","26.12","24.00","7.73M","6.78%"
"Aug 26, 2021","24.39","26.62","26.93","23.90","9.46M","-8.09%"
"Aug 25, 2021","26.54","25.74","26.86","25.36","18.04K","3.03%"
"Aug 24, 2021","25.76","28.56","28.91","25.73","9.60M","-9.77%"
"Aug 23, 2021","28.55","27.98","29.29","27.78","9.44M","2.03%"
"Aug 22, 2021","27.98","27.84","28.63","26.81","6.99M","0.52%"
