"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","34.7655","35.8779","35.9080","33.7552","14.29M","-3.09%"
"Jan 25, 2022","35.8727","35.9870","37.1349","34.8071","16.85M","-0.31%"
"Jan 24, 2022","35.9852","34.6305","36.9946","29.9011","31.56M","4.10%"
"Jan 23, 2022","34.5677","29.2840","34.6843","29.1523","18.62M","17.97%"
"Jan 22, 2022","29.3029","34.6047","35.0203","27.3679","21.10M","-15.32%"
"Jan 21, 2022","34.6025","39.1199","41.0399","32.2369","26.23M","-11.55%"
"Jan 20, 2022","39.1199","37.0181","42.1024","36.9762","14.20M","5.69%"
"Jan 19, 2022","37.0121","38.2663","38.8216","35.3877","8.05M","-3.38%"
"Jan 18, 2022","38.3051","39.1380","40.0659","36.2822","9.76M","-2.13%"
"Jan 17, 2022","39.1388","43.6569","44.4923","37.9837","10.61M","-10.33%"
"Jan 16, 2022","43.6491","39.1319","43.7943","38.8731","8.65M","11.53%"
"Jan 15, 2022","39.1362","40.4188","40.9133","39.1362","5.98M","-3.21%"
"Jan 14, 2022","40.4334","37.5836","40.7975","36.7345","9.76M","7.63%"
"Jan 13, 2022","37.5672","40.1990","41.2377","37.4737","10.74M","-6.54%"
"Jan 12, 2022","40.1972","38.6758","42.3093","38.6437","12.98M","3.99%"
"Jan 11, 2022","38.6531","37.8981","39.8342","36.1858","13.36M","1.94%"
"Jan 10, 2022","37.9169","34.9872","38.1325","32.9540","18.78M","8.38%"
"Jan 09, 2022","34.9847","35.8595","38.0494","34.1351","13.12M","-2.42%"
"Jan 08, 2022","35.8526","38.5027","40.3187","34.0965","16.00M","-6.88%"
"Jan 07, 2022","38.5027","40.0667","44.6500","37.7544","29.20M","-3.93%"
"Jan 06, 2022","40.0784","38.5926","41.3775","35.5154","17.72M","3.85%"
"Jan 05, 2022","38.5912","42.0820","43.1560","34.6663","17.18M","-8.28%"
"Jan 04, 2022","42.0750","39.2329","43.9103","37.5113","17.88M","7.27%"
"Jan 03, 2022","39.2221","35.5310","39.7971","34.2364","13.33M","10.35%"
"Jan 02, 2022","35.5422","36.2823","36.8343","34.2387","7.47M","-1.97%"
"Jan 01, 2022","36.2565","32.4274","36.9798","32.3876","13.17M","11.77%"
"Dec 31, 2021","32.4389","30.1922","33.2696","30.1288","11.79M","7.44%"
"Dec 30, 2021","30.1922","27.9314","30.5124","26.4621","9.73M","8.11%"
"Dec 29, 2021","27.9282","26.5616","28.1263","25.2045","8.56M","5.15%"
"Dec 28, 2021","26.5615","29.7018","29.7169","26.2045","9.03M","-10.54%"
"Dec 27, 2021","29.6903","32.1239","32.6543","29.5916","6.60M","-7.58%"
"Dec 26, 2021","32.1244","29.6794","32.2510","28.5853","8.51M","8.29%"
"Dec 25, 2021","29.6652","26.8874","29.6652","26.6718","4.37M","10.40%"
"Dec 24, 2021","26.8703","28.3552","29.7057","26.7692","5.20M","-5.22%"
"Dec 23, 2021","28.3512","27.3773","28.8498","26.4508","8.62M","3.67%"
"Dec 22, 2021","27.3485","23.6027","28.4586","23.3619","12.13M","15.88%"
"Dec 21, 2021","23.5999","21.5050","23.6786","21.4910","4.14M","9.74%"
"Dec 20, 2021","21.5050","22.1634","22.4211","20.7330","4.32M","-2.96%"
"Dec 19, 2021","22.1617","23.1449","23.7130","22.0625","4.13M","-4.40%"
"Dec 18, 2021","23.1807","21.2165","23.2361","20.9298","3.58M","9.24%"
"Dec 17, 2021","21.2199","21.7683","22.0539","20.4092","4.69M","-2.37%"
"Dec 16, 2021","21.7357","22.3101","23.4480","21.6655","4.14M","-2.51%"
