"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","0.4054","0.3917","0.4102","0.3881","31.07M","3.47%"
"Jan 25, 2022","0.3919","0.3747","0.3982","0.3654","28.76M","4.62%"
"Jan 24, 2022","0.3745","0.3784","0.3784","0.3295","53.23M","-1.02%"
"Jan 23, 2022","0.3784","0.3375","0.3819","0.3357","34.44M","12.12%"
"Jan 22, 2022","0.3375","0.3638","0.3711","0.3264","54.16M","-7.23%"
"Jan 21, 2022","0.3638","0.4353","0.4391","0.3525","60.20M","-16.44%"
"Jan 20, 2022","0.4353","0.4319","0.4742","0.4269","34.44M","0.79%"
"Jan 19, 2022","0.4319","0.4445","0.4483","0.4306","19.00M","-2.73%"
"Jan 18, 2022","0.4440","0.4441","0.4524","0.4338","27.70M","0.00%"
"Jan 17, 2022","0.4440","0.4638","0.4647","0.4363","18.53M","-4.26%"
"Jan 16, 2022","0.4638","0.4671","0.4725","0.4603","12.39M","-0.73%"
"Jan 15, 2022","0.4672","0.4569","0.4738","0.4553","16.77M","2.28%"
"Jan 14, 2022","0.4568","0.4561","0.4687","0.4459","19.29M","0.19%"
"Jan 13, 2022","0.4559","0.4861","0.4926","0.4548","19.60M","-6.22%"
"Jan 12, 2022","0.4861","0.4586","0.4943","0.4582","23.76M","5.98%"
"Jan 11, 2022","0.4587","0.4447","0.4651","0.4388","23.71M","3.16%"
"Jan 10, 2022","0.4447","0.4612","0.4715","0.4293","32.60M","-3.53%"
"Jan 09, 2022","0.4609","0.4535","0.4772","0.4489","20.37M","1.65%"
"Jan 08, 2022","0.4535","0.4635","0.4830","0.4417","26.61M","-2.06%"
"Jan 07, 2022","0.4630","0.5036","0.5045","0.4615","47.01M","-8.10%"
"Jan 06, 2022","0.5038","0.5022","0.5147","0.4851","45.51M","0.31%"
"Jan 05, 2022","0.5022","0.5517","0.5590","0.4807","40.35M","-8.96%"
"Jan 04, 2022","0.5517","0.5670","0.5750","0.5470","17.95M","-2.73%"
"Jan 03, 2022","0.5672","0.5874","0.5874","0.5582","19.37M","-3.47%"
"Jan 02, 2022","0.5875","0.5851","0.5891","0.5735","16.94M","0.43%"
"Jan 01, 2022","0.5850","0.5566","0.5859","0.5565","14.96M","5.06%"
"Dec 31, 2021","0.5568","0.5528","0.5849","0.5473","26.28M","0.70%"
"Dec 30, 2021","0.5530","0.5462","0.5677","0.5395","25.30M","1.29%"
"Dec 29, 2021","0.5459","0.5654","0.5813","0.5419","28.26M","-3.36%"
"Dec 28, 2021","0.5649","0.6231","0.6233","0.5524","41.24M","-9.33%"
"Dec 27, 2021","0.6231","0.6249","0.6503","0.6195","24.58M","-0.30%"
"Dec 26, 2021","0.6249","0.6443","0.6456","0.6057","41.29M","-3.01%"
"Dec 25, 2021","0.6443","0.6271","0.6620","0.6228","38.10M","2.98%"
"Dec 24, 2021","0.6257","0.5947","0.6845","0.5915","82.11M","5.28%"
"Dec 23, 2021","0.5943","0.5365","0.6106","0.5299","54.68M","10.74%"
"Dec 22, 2021","0.5367","0.5292","0.5479","0.5253","23.44M","1.42%"
"Dec 21, 2021","0.5292","0.4995","0.5352","0.4949","22.27M","5.98%"
"Dec 20, 2021","0.4993","0.5136","0.5191","0.4799","28.47M","-2.78%"
"Dec 19, 2021","0.5136","0.5261","0.5400","0.5126","24.30M","-2.37%"
"Dec 18, 2021","0.5260","0.5206","0.5369","0.5106","17.31M","1.02%"
"Dec 17, 2021","0.5207","0.5389","0.5434","0.5103","31.67M","-3.37%"
"Dec 16, 2021","0.5389","0.5562","0.5700","0.5377","26.18M","-3.11%"
"Dec 15, 2021","0.5562","0.5430","0.5635","0.5143","49.65M","2.45%"
"Dec 14, 2021","0.5429","0.5303","0.5507","0.5208","39.89M","2.37%"
"Dec 13, 2021","0.5303","0.6025","0.6044","0.5246","38.76M","-12.02%"
"Dec 12, 2021","0.6028","0.5768","0.6193","0.5708","26.81M","4.50%"
"Dec 11, 2021","0.5768","0.5468","0.5815","0.5383","27.51M","5.61%"
"Dec 10, 2021","0.5462","0.5648","0.5960","0.5450","39.57M","-3.27%"
"Dec 09, 2021","0.5646","0.6087","0.6200","0.5599","40.93M","-7.22%"
"Dec 08, 2021","0.6086","0.6060","0.6248","0.5863","50.15M","0.42%"
"Dec 07, 2021","0.6060","0.5959","0.6548","0.5946","105.27M","1.70%"
"Dec 06, 2021","0.5959","0.5625","0.5991","0.5110","90.57M","5.99%"
"Dec 05, 2021","0.5622","0.6053","0.6128","0.5402","75.28M","-7.34%"
"Dec 04, 2021","0.6067","0.6393","0.6429","0.4767","179.78M","-5.17%"
"Dec 03, 2021","0.6398","0.6918","0.7015","0.5900","99.53M","-7.52%"
"Dec 02, 2021","0.6919","0.7173","0.7221","0.6846","94.78M","-3.55%"
"Dec 01, 2021","0.7173","0.6874","0.7705","0.6847","132.44M","4.37%"
"Nov 30, 2021","0.6873","0.7133","0.7193","0.6665","124.30M","-3.64%"
"Nov 29, 2021","0.7132","0.7511","0.7699","0.7119","109.01M","-5.03%"
"Nov 28, 2021","0.7510","0.7754","0.7755","0.6873","177.71M","-3.22%"
"Nov 27, 2021","0.7760","0.6858","0.8168","0.6824","241.61M","13.25%"
"Nov 26, 2021","0.6852","0.8080","0.8090","0.6420","197.56M","-15.18%"
"Nov 25, 2021","0.8078","0.8853","0.9072","0.7576","249.75M","-8.75%"
"Nov 24, 2021","0.8853","0.8853","0.9644","0.8325","417.20M","-0.08%"
"Nov 23, 2021","0.8860","0.7262","0.9023","0.7126","388.33M","21.93%"
"Nov 22, 2021","0.7266","0.7238","0.7621","0.6586","348.20M","0.40%"
"Nov 21, 2021","0.7238","0.5757","0.7851","0.5630","428.49M","25.75%"
