"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","0.99893","0.99954","1.00160","0.99631","351.26K","-0.09%"
"Jan 25, 2022","0.99987","0.99921","1.00124","0.99807","146.74K","0.07%"
"Jan 24, 2022","0.99921","0.99950","1.00404","0.99872","278.95K","-0.03%"
"Jan 23, 2022","0.99950","1.00105","1.00170","0.99738","145.67K","-0.15%"
"Jan 22, 2022","1.00105","1.00067","1.00270","0.99913","986.59K","0.04%"
"Jan 21, 2022","1.00067","1.00097","1.00122","0.99650","358.42K","-0.03%"
"Jan 20, 2022","1.00097","0.99951","1.00566","0.99593","124.23K","0.15%"
"Jan 19, 2022","0.99951","0.99823","1.00227","0.99621","136.66K","0.13%"
"Jan 18, 2022","0.99823","1.00010","1.00277","0.99697","114.04K","-0.19%"
"Jan 17, 2022","1.00010","0.99937","1.00037","0.99637","167.11K","0.07%"
"Jan 16, 2022","0.99937","0.99980","1.00177","0.99536","215.64K","-0.04%"
"Jan 15, 2022","0.99980","0.99969","1.00091","0.99663","116.81K","0.02%"
"Jan 14, 2022","0.99962","0.99949","1.00090","0.99780","69.78K","0.01%"
"Jan 13, 2022","0.99949","0.99992","1.00089","0.99850","124.72K","-0.04%"
"Jan 12, 2022","0.99992","0.99916","1.00116","0.99795","70.56K","0.08%"
"Jan 11, 2022","0.99916","0.99907","1.00168","0.99789","125.90K","0.01%"
"Jan 10, 2022","0.99907","1.00006","1.00202","0.99738","98.51K","-0.10%"
"Jan 09, 2022","1.00006","0.99975","1.00182","0.99827","78.32K","0.03%"
"Jan 08, 2022","0.99975","0.99972","1.00204","0.99852","121.19K","0.00%"
"Jan 07, 2022","0.99972","1.00022","1.00146","0.99875","153.04K","-0.05%"
"Jan 06, 2022","1.00022","0.99946","1.00260","0.99837","221.02K","0.08%"
"Jan 05, 2022","0.99946","0.99945","1.00169","0.99815","491.70K","0.00%"
"Jan 04, 2022","0.99945","0.99973","1.00164","0.99700","165.54K","-0.03%"
"Jan 03, 2022","0.99973","1.00010","1.00193","0.99794","113.35K","-0.04%"
"Jan 02, 2022","1.00010","0.99993","1.00026","0.99750","68.89K","0.02%"
"Jan 01, 2022","0.99993","0.99977","1.00054","0.99800","59.13K","0.02%"
"Dec 31, 2021","0.99977","0.99893","1.00153","0.99733","165.88K","0.08%"
"Dec 30, 2021","0.99893","0.99842","1.00720","0.99702","272.37K","0.05%"
"Dec 29, 2021","0.99842","0.99924","1.00187","0.99776","135.94K","-0.08%"
"Dec 28, 2021","0.99924","1.00011","1.00329","0.99798","66.96K","-0.09%"
"Dec 27, 2021","1.00011","0.99870","1.00096","0.99762","209.68K","0.14%"
"Dec 26, 2021","0.99870","1.00006","1.00143","0.99697","82.49K","-0.14%"
"Dec 25, 2021","1.00006","0.99931","1.00037","0.99788","81.99K","0.07%"
"Dec 24, 2021","0.99931","1.00071","1.00071","0.99745","133.70K","-0.14%"
