"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","37.0998","36.4921","37.2912","35.4622","50.64M","1.65%"
"Jan 25, 2022","36.4979","35.6441","37.1331","34.5004","38.16M","2.40%"
"Jan 24, 2022","35.6440","36.0219","36.2933","31.3950","83.67M","-1.03%"
"Jan 23, 2022","36.0142","33.4250","36.3888","33.3357","57.31M","7.71%"
"Jan 22, 2022","33.4352","38.5200","39.4216","31.7459","144.88M","-13.37%"
"Jan 21, 2022","38.5975","45.2252","45.9235","37.4703","138.91M","-14.69%"
"Jan 20, 2022","45.2432","46.7360","49.9388","44.9994","72.68M","-3.21%"
"Jan 19, 2022","46.7427","44.9512","46.9763","43.2575","87.45M","3.98%"
"Jan 18, 2022","44.9522","44.4003","45.1829","42.9530","62.90M","1.16%"
"Jan 17, 2022","44.4388","46.4651","46.5548","43.9132","78.54M","-4.36%"
"Jan 16, 2022","46.4654","46.0155","46.6293","45.1877","46.24M","0.93%"
"Jan 15, 2022","46.0380","44.7086","47.3329","44.3565","70.18M","2.97%"
"Jan 14, 2022","44.7086","40.9490","44.7105","40.7181","71.37M","9.23%"
"Jan 13, 2022","40.9323","41.4501","42.4807","40.6406","43.10M","-1.24%"
"Jan 12, 2022","41.4458","39.7598","41.7528","39.5737","38.90M","4.23%"
"Jan 11, 2022","39.7637","38.0892","39.9217","37.7620","46.43M","4.40%"
"Jan 10, 2022","38.0892","37.1612","38.3109","35.3355","80.08M","2.50%"
"Jan 09, 2022","37.1612","35.2002","37.6994","34.9873","39.46M","5.57%"
"Jan 08, 2022","35.2003","35.4879","36.4732","33.8020","45.26M","-0.82%"
"Jan 07, 2022","35.4918","38.6195","38.6558","34.8461","67.94M","-8.12%"
"Jan 06, 2022","38.6273","38.0503","39.3620","36.4212","68.20M","1.62%"
"Jan 05, 2022","38.0128","41.3780","42.7668","37.1282","85.91M","-8.13%"
"Jan 04, 2022","41.3780","40.2079","43.6235","39.2498","76.47M","2.93%"
"Jan 03, 2022","40.2001","40.1590","41.5983","39.3811","76.44M","0.06%"
"Jan 02, 2022","40.1777","40.2087","40.6299","39.3009","30.28M","-0.07%"
"Jan 01, 2022","40.2049","38.2699","40.2780","38.2551","20.75M","5.06%"
"Dec 31, 2021","38.2697","38.8696","40.2972","37.9238","68.07M","-1.54%"
"Dec 30, 2021","38.8696","38.5263","40.3489","38.0636","32.50M","0.89%"
"Dec 29, 2021","38.5263","40.0248","40.4701","38.1191","29.25M","-3.73%"
"Dec 28, 2021","40.0179","42.6118","42.6148","39.4128","43.01M","-6.05%"
"Dec 27, 2021","42.5941","42.5724","43.6292","42.2058","27.79M","0.05%"
"Dec 26, 2021","42.5714","42.7616","42.9811","42.0056","14.31M","-0.43%"
"Dec 25, 2021","42.7538","42.6760","43.2060","42.4580","11.99M","0.19%"
"Dec 24, 2021","42.6729","43.0977","43.6689","42.3331","31.09M","-0.99%"
"Dec 23, 2021","43.0977","41.3438","43.4419","40.8250","29.81M","4.24%"
"Dec 22, 2021","41.3438","42.0072","42.6228","41.1127","24.86M","-1.63%"
"Dec 21, 2021","42.0287","40.5877","42.6188","40.4454","29.17M","3.52%"
"Dec 20, 2021","40.5985","39.7676","40.7122","38.5504","43.42M","2.09%"
"Dec 19, 2021","39.7676","39.9395","41.1288","39.4860","23.40M","-0.39%"
"Dec 18, 2021","39.9245","37.5538","40.3208","37.2974","34.39M","6.35%"
"Dec 17, 2021","37.5400","38.3856","38.6910","36.0170","32.41M","-2.20%"
"Dec 16, 2021","38.3856","39.2477","39.5901","38.3218","17.39M","-2.20%"
"Dec 15, 2021","39.2477","38.8419","39.7530","36.8186","43.80M","1.03%"
"Dec 14, 2021","38.8459","37.7546","39.1674","37.1980","25.78M","2.78%"
"Dec 13, 2021","37.7948","41.2913","42.0748","37.1025","41.50M","-8.47%"
"Dec 12, 2021","41.2914","40.4181","41.7734","39.8979","18.79M","2.22%"
"Dec 11, 2021","40.3935","38.6318","40.5138","38.1535","18.09M","4.53%"
"Dec 10, 2021","38.6435","40.2382","41.0430","38.4203","43.38M","-3.98%"
"Dec 09, 2021","40.2450","44.0311","44.2996","39.7335","33.37M","-8.60%"
"Dec 08, 2021","44.0310","42.9135","44.1943","41.3818","36.19M","2.63%"
"Dec 07, 2021","42.9026","44.0056","44.7003","42.4978","47.63M","-2.51%"
"Dec 06, 2021","44.0057","43.8656","44.3366","40.1324","67.15M","0.31%"
"Dec 05, 2021","43.8719","44.0639","44.7359","42.0941","39.89M","-0.44%"
