"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","2.3718","2.3800","2.4026","2.2633","229.16M","-0.35%"
"Jan 25, 2022","2.3800","2.2511","2.4689","2.1580","236.94M","5.73%"
"Jan 24, 2022","2.2511","2.2768","2.3224","1.9041","337.95M","-1.14%"
"Jan 23, 2022","2.2771","1.9668","2.3637","1.9507","290.54M","15.78%"
"Jan 22, 2022","1.9668","2.2740","2.3783","1.7845","373.22M","-13.84%"
"Jan 21, 2022","2.2828","2.6985","2.7769","2.1372","278.02M","-15.40%"
"Jan 20, 2022","2.6985","2.7709","3.0334","2.6783","139.63M","-2.61%"
"Jan 19, 2022","2.7709","2.9527","3.0402","2.7605","158.30M","-6.23%"
"Jan 18, 2022","2.9551","2.9219","3.0118","2.7078","170.39M","1.14%"
"Jan 17, 2022","2.9219","3.3093","3.3743","2.8858","170.33M","-11.71%"
"Jan 16, 2022","3.3093","3.0067","3.3171","2.9375","173.30M","10.06%"
"Jan 15, 2022","3.0067","2.9546","3.0395","2.8359","83.17M","1.76%"
"Jan 14, 2022","2.9546","3.0054","3.0621","2.8112","162.28M","-1.69%"
"Jan 13, 2022","3.0054","2.9435","3.1493","2.7930","237.63M","2.10%"
"Jan 12, 2022","2.9435","2.5922","3.0138","2.5901","209.00M","13.55%"
"Jan 11, 2022","2.5922","2.2270","2.5958","2.1911","180.10M","16.40%"
"Jan 10, 2022","2.2270","2.3919","2.4714","2.1120","174.37M","-6.89%"
"Jan 09, 2022","2.3919","2.2830","2.5211","2.2329","153.95M","4.77%"
"Jan 08, 2022","2.2830","2.5967","2.6877","2.1859","224.12M","-12.08%"
"Jan 07, 2022","2.5967","2.8900","2.8937","2.5687","220.49M","-10.18%"
"Jan 06, 2022","2.8911","2.9232","3.0287","2.6516","238.77M","-1.10%"
"Jan 05, 2022","2.9232","2.8849","3.1583","2.5982","286.83M","1.33%"
"Jan 04, 2022","2.8849","2.8621","3.0565","2.8116","171.53M","0.80%"
"Jan 03, 2022","2.8621","2.4877","2.8680","2.3733","176.27M","15.05%"
"Jan 02, 2022","2.4877","2.5863","2.5995","2.4474","85.18M","-3.81%"
"Jan 01, 2022","2.5863","2.2514","2.5898","2.2514","113.50M","14.88%"
"Dec 31, 2021","2.2514","2.0993","2.3385","2.0830","111.20M","7.24%"
"Dec 30, 2021","2.0993","2.1325","2.2254","2.0372","85.39M","-1.56%"
"Dec 29, 2021","2.1325","2.2231","2.3637","2.1027","144.25M","-4.08%"
"Dec 28, 2021","2.2231","2.1969","2.3581","2.0711","196.03M","1.19%"
"Dec 27, 2021","2.1969","2.3349","2.4475","2.1851","108.68M","-5.91%"
"Dec 26, 2021","2.3349","2.1117","2.3863","2.0953","150.24M","10.57%"
