"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","108.700","107.900","110.200","106.700","567.45K","0.74%"
"Jan 25, 2022","107.900","109.500","109.800","105.400","589.31K","-1.46%"
"Jan 24, 2022","109.500","112.300","112.300","97.900","1.10M","-2.49%"
"Jan 23, 2022","112.300","108.300","112.600","105.700","588.08K","3.69%"
"Jan 22, 2022","108.300","114.700","116.900","96.600","1.35M","-5.58%"
"Jan 21, 2022","114.700","129.800","131.000","110.700","1.02M","-11.63%"
"Jan 20, 2022","129.800","136.200","142.900","129.000","404.75K","-4.70%"
"Jan 19, 2022","136.200","141.400","143.000","133.200","437.53K","-3.68%"
"Jan 18, 2022","141.400","151.100","153.200","138.800","605.40K","-6.42%"
"Jan 17, 2022","151.100","146.400","153.500","144.200","809.01K","3.21%"
"Jan 16, 2022","146.400","147.700","148.900","143.300","323.95K","-0.88%"
"Jan 15, 2022","147.700","144.700","150.500","144.200","461.87K","2.07%"
"Jan 14, 2022","144.700","136.700","146.300","136.000","588.21K","6.01%"
"Jan 13, 2022","136.500","141.900","142.200","134.800","462.23K","-3.81%"
"Jan 12, 2022","141.900","131.600","142.100","130.900","387.74K","7.91%"
"Jan 11, 2022","131.500","126.500","133.400","125.800","396.22K","3.95%"
"Jan 10, 2022","126.500","130.800","131.500","121.100","621.00K","-3.29%"
"Jan 09, 2022","130.800","129.400","132.500","128.000","322.01K","1.08%"
"Jan 08, 2022","129.400","131.300","134.700","125.300","449.88K","-1.37%"
"Jan 07, 2022","131.200","136.100","136.400","126.600","734.09K","-3.60%"
"Jan 06, 2022","136.100","135.100","137.900","132.600","531.59K","0.74%"
"Jan 05, 2022","135.100","146.500","149.800","130.000","601.80K","-7.84%"
"Jan 04, 2022","146.600","148.400","151.600","145.600","331.45K","-1.21%"
"Jan 03, 2022","148.400","151.200","151.200","146.000","290.46K","-1.85%"
"Jan 02, 2022","151.200","150.800","153.200","147.900","228.38K","0.27%"
"Jan 01, 2022","150.800","146.300","150.900","146.300","225.23K","3.08%"
"Dec 31, 2021","146.300","148.000","152.500","143.800","344.87K","-1.22%"
"Dec 30, 2021","148.100","145.500","149.900","143.000","318.21K","1.86%"
"Dec 29, 2021","145.400","145.700","150.700","144.200","444.89K","-0.21%"
"Dec 28, 2021","145.700","155.900","155.900","144.700","679.90K","-6.54%"
"Dec 27, 2021","155.900","155.800","161.100","154.500","464.11K","0.06%"
"Dec 26, 2021","155.800","157.700","158.300","153.000","890.80K","-1.20%"
"Dec 25, 2021","157.700","161.000","163.600","157.700","453.25K","-2.05%"
"Dec 24, 2021","161.000","163.500","166.700","160.300","411.82K","-1.53%"
"Dec 23, 2021","163.500","155.400","165.100","153.200","521.21K","5.21%"
"Dec 22, 2021","155.400","154.800","160.100","153.100","415.29K","0.39%"
"Dec 21, 2021","154.800","152.600","156.300","149.200","375.36K","1.44%"
"Dec 20, 2021","152.600","153.300","157.400","145.400","550.93K","-0.46%"
"Dec 19, 2021","153.300","148.700","160.500","147.600","738.41K","3.09%"
"Dec 18, 2021","148.700","144.100","150.200","142.900","300.89K","3.19%"
"Dec 17, 2021","144.100","148.900","150.300","141.500","472.43K","-3.22%"
"Dec 16, 2021","148.900","153.500","156.400","148.600","434.90K","-3.00%"
"Dec 15, 2021","153.500","150.500","155.000","141.900","611.77K","1.93%"
"Dec 14, 2021","150.600","144.500","151.800","143.000","511.83K","4.22%"
