"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","11.7621","12.1227","12.4429","11.4584","25.09M","-3.02%"
"Jan 25, 2022","12.1278","10.7216","12.4694","10.0021","22.38M","13.11%"
"Jan 24, 2022","10.7217","11.7072","11.7072","9.5198","31.08M","-8.42%"
"Jan 23, 2022","11.7072","11.4094","12.5476","10.8343","21.83M","2.61%"
"Jan 22, 2022","11.4094","13.2340","13.5213","10.1541","32.99M","-13.80%"
"Jan 21, 2022","13.2366","15.3047","15.6773","12.0265","32.45M","-13.51%"
"Jan 20, 2022","15.3047","16.2099","17.5445","15.1641","13.86M","-5.59%"
"Jan 19, 2022","16.2107","17.7074","17.8377","16.1761","14.13M","-8.47%"
"Jan 18, 2022","17.7109","17.6914","18.1942","16.7804","15.04M","-0.06%"
"Jan 17, 2022","17.7212","20.1347","20.1666","17.3822","13.18M","-11.98%"
"Jan 16, 2022","20.1330","19.2723","20.4410","18.7786","10.90M","4.47%"
"Jan 15, 2022","19.2723","20.1821","20.2910","19.0492","7.83M","-4.42%"
"Jan 14, 2022","20.1628","19.6167","20.4430","18.5010","21.71M","2.78%"
"Jan 13, 2022","19.6166","17.5671","19.8598","17.1953","23.95M","11.85%"
"Jan 12, 2022","17.5389","18.0292","18.7371","17.4220","17.90M","-2.70%"
"Jan 11, 2022","18.0256","15.4827","18.3118","15.2995","26.23M","16.23%"
"Jan 10, 2022","15.5084","13.5192","15.5144","13.2120","25.09M","14.68%"
"Jan 09, 2022","13.5233","13.8124","14.2913","13.1221","9.09M","-2.09%"
"Jan 08, 2022","13.8124","15.0187","15.5016","13.3375","14.18M","-7.97%"
"Jan 07, 2022","15.0092","15.9640","16.0149","14.3220","19.62M","-5.98%"
"Jan 06, 2022","15.9640","15.2995","16.2848","14.7760","21.18M","4.50%"
"Jan 05, 2022","15.2764","16.0341","17.2932","14.0199","21.56M","-4.72%"
"Jan 04, 2022","16.0336","16.4411","17.6357","15.9558","25.45M","-2.43%"
"Jan 03, 2022","16.4331","14.4023","16.4731","13.9301","16.25M","14.07%"
"Jan 02, 2022","14.4061","15.1759","15.2451","14.2454","6.55M","-5.06%"
"Jan 01, 2022","15.1733","14.6227","15.3194","14.4373","6.19M","3.77%"
"Dec 31, 2021","14.6227","15.4407","15.7009","14.1707","10.86M","-5.30%"
"Dec 30, 2021","15.4407","14.8866","15.5043","14.0704","20.64M","3.77%"
"Dec 29, 2021","14.8804","13.3390","15.1981","13.1408","24.05M","11.56%"
"Dec 28, 2021","13.3390","14.7492","14.8052","13.0460","21.16M","-9.57%"
"Dec 27, 2021","14.7502","16.2739","16.3963","14.5797","14.89M","-9.36%"
"Dec 26, 2021","16.2739","15.1893","16.2739","14.5307","15.01M","7.04%"
"Dec 25, 2021","15.2031","14.9472","15.6397","14.2177","19.81M","1.77%"
"Dec 24, 2021","14.9392","13.7271","15.8818","13.5168","34.83M","9.07%"
"Dec 23, 2021","13.6969","10.8239","14.2053","10.7209","48.06M","26.75%"
"Dec 22, 2021","10.8065","9.2505","11.7490","9.0821","34.29M","17.00%"
"Dec 21, 2021","9.2366","8.4934","9.3740","8.4934","11.43M","8.80%"
"Dec 20, 2021","8.4898","9.0103","9.0828","8.2705","14.62M","-5.80%"
"Dec 19, 2021","9.0123","8.4149","9.6819","8.3547","18.10M","7.10%"
"Dec 18, 2021","8.4149","8.4160","8.5439","8.0869","7.58M","-0.05%"
"Dec 17, 2021","8.4191","9.2445","9.3437","8.2993","11.94M","-8.93%"
"Dec 16, 2021","9.2446","9.8430","10.1996","9.2126","14.29M","-6.08%"
"Dec 15, 2021","9.8430","9.3321","19.3580","9.0620","48.50M","5.47%"
"Dec 14, 2021","9.3321","9.1077","9.6725","8.9372","11.79M","2.47%"
"Dec 13, 2021","9.1075","10.5731","10.7128","8.9876","14.89M","-13.86%"
"Dec 12, 2021","10.5731","11.6256","11.8223","10.5225","13.43M","-8.93%"
"Dec 11, 2021","11.6102","9.9918","11.7074","9.5348","23.21M","16.20%"
"Dec 10, 2021","9.9918","9.7371","10.3531","9.1237","22.90M","2.59%"
"Dec 09, 2021","9.7399","9.3190","10.0266","8.9252","26.83M","4.52%"
"Dec 08, 2021","9.3190","7.5925","9.6293","7.5046","25.67M","22.59%"
"Dec 07, 2021","7.6016","7.2947","7.6817","7.1503","8.74M","4.21%"
"Dec 06, 2021","7.2947","7.3417","7.3976","6.6355","11.63M","-0.71%"
"Dec 05, 2021","7.3469","8.0021","8.1661","7.1280","8.40M","-8.27%"
"Dec 04, 2021","8.0089","9.1616","9.1616","6.1899","27.76M","-12.58%"
"Dec 03, 2021","9.1616","8.2420","9.5555","8.2045","18.44M","11.11%"
"Dec 02, 2021","8.2454","8.5084","8.5084","8.0794","4.98M","-3.09%"
"Dec 01, 2021","8.5084","8.7228","8.9150","8.3565","4.77M","-2.46%"
"Nov 30, 2021","8.7228","8.4255","8.9822","8.2107","8.41M","3.54%"
"Nov 29, 2021","8.4245","8.4064","8.5270","8.1382","3.85M","0.25%"
"Nov 28, 2021","8.4034","8.3147","8.6824","7.5410","8.45M","1.07%"
"Nov 27, 2021","8.3147","8.2389","8.5351","8.1747","3.68M","0.92%"
"Nov 26, 2021","8.2389","9.2739","9.3529","7.8709","12.88M","-11.16%"
"Nov 25, 2021","9.2739","9.2570","9.4823","9.1130","5.81M","0.28%"
"Nov 24, 2021","9.2484","9.9797","10.2763","9.0405","9.24M","-7.36%"
"Nov 23, 2021","9.9834","9.2695","9.9847","9.0922","7.14M","7.70%"
"Nov 22, 2021","9.2695","9.6682","9.7544","9.0024","6.72M","-4.38%"
"Nov 21, 2021","9.6946","9.7979","9.9285","9.3501","5.08M","-1.05%"
"Nov 20, 2021","9.7979","9.4302","9.8709","9.2820","6.88M","3.90%"
"Nov 19, 2021","9.4302","8.7923","9.5716","8.6446","8.43M","7.25%"
"Nov 18, 2021","8.7923","9.4161","9.8631","8.4359","13.72M","-6.59%"
"Nov 17, 2021","9.4124","9.6787","9.8202","9.1536","10.73M","-2.84%"
"Nov 16, 2021","9.6872","11.0750","11.0856","9.0893","18.37M","-12.53%"
"Nov 15, 2021","11.0746","11.8504","11.9718","11.0511","7.10M","-6.52%"
"Nov 14, 2021","11.8469","11.1614","11.8982","11.1517","9.14M","6.14%"
"Nov 13, 2021","11.1614","11.4103","11.4291","10.8796","6.71M","-2.18%"
"Nov 12, 2021","11.4103","12.1118","12.6424","10.9451","14.62M","-5.79%"
"Nov 11, 2021","12.1118","10.7939","12.5307","10.5786","18.28M","12.21%"
"Nov 10, 2021","10.7939","11.3655","11.7949","9.9995","16.80M","-5.00%"
"Nov 09, 2021","11.3622","10.7152","11.7845","10.4870","13.69M","6.06%"
"Nov 08, 2021","10.7127","10.3261","10.7994","10.0755","8.60M","3.74%"
"Nov 07, 2021","10.3261","10.1885","10.5454","10.0744","5.93M","1.36%"
"Nov 06, 2021","10.1874","10.3624","10.3854","9.7767","7.86M","-1.60%"
"Nov 05, 2021","10.3528","10.5960","10.8954","10.1825","6.90M","-2.30%"
"Nov 04, 2021","10.5960","10.9262","11.5003","10.3038","9.97M","-3.23%"
"Nov 03, 2021","10.9492","10.4642","11.2876","10.2122","12.78M","4.68%"
"Nov 02, 2021","10.4595","10.1537","10.9844","10.0225","10.03M","2.93%"
"Nov 01, 2021","10.1617","10.1547","10.6978","9.9004","11.33M","0.07%"
"Oct 31, 2021","10.1547","10.4755","10.7098","9.6952","9.74M","-3.06%"
"Oct 30, 2021","10.4755","11.5780","11.5780","10.1393","9.37M","-9.30%"
"Oct 29, 2021","11.5492","11.3525","11.5854","11.0524","8.74M","1.73%"
"Oct 28, 2021","11.3526","10.8554","12.5668","10.6645","19.29M","4.67%"
"Oct 27, 2021","10.8463","12.3177","12.7723","10.3593","24.94M","-11.95%"
"Oct 26, 2021","12.3188","12.3144","13.2086","11.8214","25.20M","0.03%"
"Oct 25, 2021","12.3148","9.6104","12.6708","9.5509","36.58M","28.14%"
"Oct 24, 2021","9.6104","9.3148","9.9267","9.1400","12.20M","3.17%"
"Oct 23, 2021","9.3148","9.1055","9.4213","8.8338","6.44M","2.41%"
"Oct 22, 2021","9.0957","9.4439","9.6636","8.8286","13.26M","-3.63%"
"Oct 21, 2021","9.4388","8.7207","9.7625","8.5766","18.69M","8.24%"
"Oct 20, 2021","8.7207","8.1835","8.8918","8.1322","11.65M","6.56%"
"Oct 19, 2021","8.1835","7.8479","8.2465","7.7479","7.91M","4.28%"
"Oct 18, 2021","7.8479","7.7869","7.9263","7.6175","4.94M","0.79%"
"Oct 17, 2021","7.7860","7.8434","8.0813","7.5998","4.80M","-0.70%"
"Oct 16, 2021","7.8409","7.8630","8.1656","7.7325","6.64M","-0.28%"
"Oct 15, 2021","7.8630","8.0471","8.2642","7.6396","11.96M","-2.29%"
"Oct 14, 2021","8.0471","7.2434","8.1748","7.2036","12.14M","11.08%"
"Oct 13, 2021","7.2447","7.2669","7.3910","6.9178","7.99M","-0.29%"
"Oct 12, 2021","7.2655","7.4248","7.4248","6.7759","9.78M","-2.14%"
"Oct 11, 2021","7.4248","7.3820","7.8151","7.2091","7.17M","0.58%"
"Oct 10, 2021","7.3820","8.0329","8.0426","7.3177","8.25M","-8.10%"
"Oct 09, 2021","8.0329","8.0905","8.3814","7.9263","6.70M","-0.71%"
"Oct 08, 2021","8.0905","8.2761","8.7356","8.0067","14.29M","-2.23%"
"Oct 07, 2021","8.2749","7.7921","8.4556","7.5029","16.96M","6.20%"
"Oct 06, 2021","7.7921","8.0025","8.0025","7.1529","12.23M","-2.63%"
"Oct 05, 2021","8.0025","7.6226","8.2462","7.5758","13.10M","4.84%"
"Oct 04, 2021","7.6329","8.0272","8.1852","7.4044","14.93M","-4.83%"
"Oct 03, 2021","8.0200","7.8059","8.4690","7.6271","13.27M","2.69%"
"Oct 02, 2021","7.8101","7.8288","8.2672","7.5241","12.44M","-0.24%"
"Oct 01, 2021","7.8288","6.9328","7.9884","6.8265","19.51M","12.93%"
"Sep 30, 2021","6.9325","6.6506","6.9927","6.5617","12.28M","4.24%"
"Sep 29, 2021","6.6506","6.4209","7.3207","6.3768","17.00M","3.58%"
"Sep 28, 2021","6.4209","6.8938","7.1315","6.3738","10.60M","-6.88%"
"Sep 27, 2021","6.8951","7.2925","7.7562","6.8579","10.78M","-5.45%"
"Sep 26, 2021","7.2925","7.6208","7.6639","6.6099","18.73M","-4.31%"
"Sep 25, 2021","7.6210","7.9741","8.4348","7.4824","15.55M","-4.43%"
"Sep 24, 2021","7.9741","9.1695","9.2655","7.4196","33.61M","-13.24%"
"Sep 23, 2021","9.1910","7.7678","9.4108","7.3664","24.25M","18.32%"
"Sep 22, 2021","7.7678","6.6837","7.7969","6.5425","18.65M","16.22%"
"Sep 21, 2021","6.6837","7.6845","7.9960","6.3531","27.39M","-12.88%"
"Sep 20, 2021","7.6716","10.0358","10.4060","7.3787","41.40M","-23.56%"
"Sep 19, 2021","10.0358","9.0666","10.3840","8.7154","22.80M","10.69%"
"Sep 18, 2021","9.0666","8.2944","9.4364","8.1141","13.77M","9.31%"
"Sep 17, 2021","8.2944","8.7248","8.9392","8.1157","9.20M","-4.93%"
"Sep 16, 2021","8.7242","9.2422","9.3629","8.4492","11.22M","-5.62%"
"Sep 15, 2021","9.2437","8.5966","9.6409","8.5543","15.22M","7.53%"
"Sep 14, 2021","8.5966","8.2002","9.3113","8.0843","18.14M","4.83%"
