"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","18.721","18.292","19.000","18.170","9.79M","2.34%"
"Jan 25, 2022","18.292","18.040","19.031","17.390","20.58M","1.40%"
"Jan 24, 2022","18.040","18.821","18.821","15.870","42.12M","-4.15%"
"Jan 23, 2022","18.821","18.279","19.180","17.740","23.69M","2.97%"
"Jan 22, 2022","18.279","19.709","20.090","16.289","48.78M","-7.26%"
"Jan 21, 2022","19.709","23.040","23.460","19.130","18.52M","-14.45%"
"Jan 20, 2022","23.039","24.061","25.600","22.887","7.29M","-4.36%"
"Jan 19, 2022","24.090","25.171","25.290","23.710","13.58M","-4.30%"
"Jan 18, 2022","25.172","25.680","26.030","24.270","7.55M","-1.98%"
"Jan 17, 2022","25.680","27.690","27.740","25.130","16.81M","-7.26%"
"Jan 16, 2022","27.690","27.630","28.450","27.310","14.57M","0.22%"
"Jan 15, 2022","27.630","27.750","28.400","26.860","11.35M","-0.36%"
"Jan 14, 2022","27.731","25.770","27.860","25.570","9.87M","7.61%"
"Jan 13, 2022","25.770","27.320","27.670","25.710","15.80M","-5.57%"
"Jan 12, 2022","27.292","25.551","27.571","25.460","8.05M","6.81%"
"Jan 11, 2022","25.551","23.720","25.981","23.510","19.53M","7.44%"
"Jan 10, 2022","23.780","24.629","25.200","22.489","24.19M","-3.33%"
"Jan 09, 2022","24.600","23.980","25.290","23.730","15.50M","2.59%"
"Jan 08, 2022","23.980","24.830","25.540","23.180","20.66M","-3.43%"
"Jan 07, 2022","24.831","26.749","26.830","24.359","15.25M","-7.17%"
"Jan 06, 2022","26.747","26.699","27.320","25.540","12.03M","0.11%"
"Jan 05, 2022","26.717","28.690","30.370","25.139","15.02M","-6.88%"
"Jan 04, 2022","28.690","30.100","30.570","28.690","22.88M","-4.68%"
"Jan 03, 2022","30.100","29.681","30.870","28.650","24.55M","1.41%"
"Jan 02, 2022","29.681","28.590","30.580","27.830","9.37M","3.82%"
"Jan 01, 2022","28.590","26.688","28.592","26.688","10.92M","7.12%"
"Dec 31, 2021","26.689","27.560","28.120","26.269","19.78M","-3.16%"
"Dec 30, 2021","27.560","26.800","28.380","26.230","16.20M","2.83%"
"Dec 29, 2021","26.800","27.820","28.950","26.567","19.77M","-3.67%"
"Dec 28, 2021","27.821","30.940","30.960","27.566","16.54M","-10.08%"
"Dec 27, 2021","30.941","31.311","32.762","30.851","9.29M","-1.19%"
"Dec 26, 2021","31.312","28.831","31.732","28.290","9.95M","8.47%"
"Dec 25, 2021","28.867","28.120","29.101","27.970","4.43M","2.69%"
"Dec 24, 2021","28.110","29.130","29.630","27.871","26.19M","-3.50%"
"Dec 23, 2021","29.130","27.220","29.760","26.740","22.41M","7.02%"
"Dec 22, 2021","27.220","25.180","28.200","24.990","22.26M","8.10%"
"Dec 21, 2021","25.180","24.051","25.590","23.750","47.08M","4.70%"
"Dec 20, 2021","24.051","24.781","25.000","23.309","14.81M","-2.95%"
"Dec 19, 2021","24.781","25.481","25.840","24.670","11.79M","-2.75%"
"Dec 18, 2021","25.481","24.643","25.710","24.230","15.38M","3.35%"
"Dec 17, 2021","24.655","26.011","26.200","24.258","11.61M","-5.28%"
"Dec 16, 2021","26.031","27.122","27.810","25.800","15.28M","-4.02%"
"Dec 15, 2021","27.122","26.181","28.002","24.320","28.62M","3.59%"
"Dec 14, 2021","26.182","25.998","26.670","25.010","11.01M","0.71%"
"Dec 13, 2021","25.996","29.598","29.810","25.598","11.70M","-12.17%"
"Dec 12, 2021","29.600","27.760","30.020","27.320","12.10M","6.87%"
"Dec 11, 2021","27.696","26.389","28.150","25.850","8.66M","4.95%"
"Dec 10, 2021","26.389","26.911","28.401","25.760","24.00M","-1.94%"
"Dec 09, 2021","26.911","29.802","30.090","26.810","19.40M","-9.70%"
"Dec 08, 2021","29.804","30.490","30.600","28.051","10.95M","-2.29%"
"Dec 07, 2021","30.502","28.191","31.402","27.700","14.11M","8.19%"
"Dec 06, 2021","28.192","28.320","28.912","24.879","33.42M","-0.45%"
"Dec 05, 2021","28.321","29.458","29.720","26.470","12.56M","-3.86%"
"Dec 04, 2021","29.458","33.698","33.840","24.543","51.41M","-12.58%"
"Dec 03, 2021","33.696","35.779","36.791","32.707","10.08M","-5.82%"
"Dec 02, 2021","35.778","36.770","36.770","35.070","6.11M","-2.70%"
"Dec 01, 2021","36.770","37.883","38.770","36.281","14.33M","-2.94%"
"Nov 30, 2021","37.885","37.112","39.321","35.460","10.65M","2.08%"
"Nov 29, 2021","37.114","35.791","37.530","35.450","8.47M","3.70%"
"Nov 28, 2021","35.791","35.170","35.811","32.261","21.78M","1.77%"
"Nov 27, 2021","35.170","34.457","35.921","34.450","14.06M","2.09%"
"Nov 26, 2021","34.449","39.431","39.610","33.911","34.77M","-12.63%"
"Nov 25, 2021","39.430","38.309","40.911","38.060","15.20M","2.92%"
"Nov 24, 2021","38.310","40.780","40.900","38.089","15.07M","-6.06%"
"Nov 23, 2021","40.780","39.472","41.451","38.610","14.45M","3.31%"
"Nov 22, 2021","39.474","41.942","42.120","38.830","9.36M","-6.26%"
