"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","1.591","1.558","1.617","1.531","145.75M","2.13%"
"Jan 25, 2022","1.558","1.508","1.609","1.411","154.78M","3.32%"
"Jan 24, 2022","1.508","1.618","1.618","1.307","250.24M","-6.64%"
"Jan 23, 2022","1.615","1.536","1.667","1.512","145.09M","5.14%"
"Jan 22, 2022","1.536","1.701","1.755","1.402","285.60M","-9.86%"
"Jan 21, 2022","1.704","1.965","2.024","1.646","228.15M","-13.27%"
"Jan 20, 2022","1.965","2.030","2.192","1.952","107.30M","-3.22%"
"Jan 19, 2022","2.030","2.121","2.141","2.014","108.25M","-4.37%"
"Jan 18, 2022","2.123","2.219","2.245","2.081","128.60M","-4.33%"
"Jan 17, 2022","2.219","2.330","2.450","2.166","131.58M","-4.78%"
"Jan 16, 2022","2.330","2.347","2.371","2.284","62.83M","-0.70%"
"Jan 15, 2022","2.347","2.335","2.397","2.299","67.77M","0.50%"
"Jan 14, 2022","2.335","2.263","2.350","2.183","98.14M","3.25%"
"Jan 13, 2022","2.262","2.397","2.439","2.243","113.72M","-5.64%"
"Jan 12, 2022","2.397","2.359","2.447","2.310","121.43M","1.60%"
"Jan 11, 2022","2.359","2.074","2.368","2.049","152.08M","13.73%"
"Jan 10, 2022","2.074","2.114","2.147","1.923","124.44M","-1.88%"
"Jan 09, 2022","2.114","1.985","2.167","1.966","81.81M","6.47%"
"Jan 08, 2022","1.985","2.048","2.143","1.904","99.63M","-3.06%"
"Jan 07, 2022","2.048","2.250","2.262","2.044","139.82M","-9.01%"
"Jan 06, 2022","2.251","2.176","2.289","2.069","140.80M","3.41%"
"Jan 05, 2022","2.177","2.367","2.450","2.031","132.93M","-8.02%"
"Jan 04, 2022","2.367","2.434","2.506","2.357","89.60M","-2.68%"
"Jan 03, 2022","2.432","2.552","2.552","2.371","78.84M","-4.70%"
"Jan 02, 2022","2.552","2.573","2.583","2.504","60.80M","-0.81%"
"Jan 01, 2022","2.573","2.526","2.603","2.503","65.36M","1.84%"
"Dec 31, 2021","2.526","2.555","2.670","2.442","119.79M","-1.13%"
"Dec 30, 2021","2.555","2.472","2.596","2.419","126.56M","3.36%"
"Dec 29, 2021","2.472","2.489","2.617","2.410","161.74M","-0.67%"
"Dec 28, 2021","2.489","2.726","2.728","2.451","181.36M","-8.70%"
"Dec 27, 2021","2.726","2.874","2.922","2.712","118.88M","-5.15%"
"Dec 26, 2021","2.874","2.640","2.886","2.612","194.23M","8.87%"
"Dec 25, 2021","2.640","2.467","2.683","2.431","102.25M","7.02%"
"Dec 24, 2021","2.467","2.681","2.683","2.427","130.97M","-8.00%"
"Dec 23, 2021","2.681","2.500","2.733","2.471","245.74M","7.24%"
"Dec 22, 2021","2.500","2.373","2.647","2.370","236.30M","5.34%"
"Dec 21, 2021","2.373","2.130","2.403","2.109","165.70M","11.58%"
"Dec 20, 2021","2.127","2.222","2.247","2.048","141.44M","-4.28%"
"Dec 19, 2021","2.222","2.231","2.290","2.166","120.04M","-0.41%"
"Dec 18, 2021","2.231","2.129","2.256","2.056","140.53M","4.81%"
"Dec 17, 2021","2.129","2.069","2.157","1.938","169.91M","2.75%"
"Dec 16, 2021","2.072","2.130","2.205","2.065","181.33M","-2.58%"
"Dec 15, 2021","2.127","1.941","2.223","1.833","280.72M","9.58%"
"Dec 14, 2021","1.941","1.817","1.947","1.739","185.79M","6.75%"
"Dec 13, 2021","1.818","2.084","2.094","1.751","228.13M","-12.92%"
"Dec 12, 2021","2.088","2.133","2.140","2.031","110.57M","-2.11%"
"Dec 11, 2021","2.133","2.092","2.165","2.016","184.34M","2.00%"
"Dec 10, 2021","2.091","2.086","2.288","2.046","362.85M","0.25%"
"Dec 09, 2021","2.086","2.417","2.439","2.063","356.54M","-13.70%"
"Dec 08, 2021","2.417","2.346","2.575","2.227","420.83M","3.02%"
"Dec 07, 2021","2.346","2.278","2.514","2.237","470.60M","3.03%"
"Dec 06, 2021","2.277","2.051","2.316","1.714","451.00M","11.03%"
"Dec 05, 2021","2.051","1.983","2.198","1.883","339.43M","3.42%"
"Dec 04, 2021","1.983","2.269","2.315","1.579","516.03M","-12.60%"
"Dec 03, 2021","2.269","2.123","2.393","2.080","433.54M","6.66%"
"Dec 02, 2021","2.127","2.006","2.202","1.951","365.08M","6.03%"
"Dec 01, 2021","2.006","1.785","2.093","1.774","259.43M","12.39%"
"Nov 30, 2021","1.785","1.817","1.875","1.696","146.78M","-1.77%"
"Nov 29, 2021","1.817","1.653","1.832","1.629","102.03M","9.98%"
"Nov 28, 2021","1.652","1.613","1.665","1.502","93.42M","2.43%"
"Nov 27, 2021","1.613","1.634","1.724","1.587","70.26M","-1.30%"
"Nov 26, 2021","1.634","1.925","1.965","1.594","199.49M","-15.11%"
"Nov 25, 2021","1.925","1.684","1.933","1.670","169.07M","14.06%"
"Nov 24, 2021","1.688","1.751","1.830","1.654","146.07M","-3.63%"
"Nov 23, 2021","1.751","1.559","1.762","1.544","119.46M","12.34%"
"Nov 22, 2021","1.559","1.600","1.619","1.527","73.14M","-2.60%"
"Nov 21, 2021","1.600","1.663","1.666","1.595","51.43M","-3.76%"
"Nov 20, 2021","1.663","1.617","1.679","1.562","69.69M","2.83%"
"Nov 19, 2021","1.617","1.499","1.624","1.479","77.69M","7.90%"
"Nov 18, 2021","1.499","1.637","1.678","1.445","117.51M","-8.43%"
"Nov 17, 2021","1.637","1.561","1.670","1.491","103.51M","4.87%"
"Nov 16, 2021","1.561","1.692","1.693","1.469","150.36M","-7.73%"
"Nov 15, 2021","1.692","1.729","1.766","1.691","60.05M","-2.15%"
"Nov 14, 2021","1.729","1.751","1.775","1.686","54.07M","-1.23%"
"Nov 13, 2021","1.751","1.716","1.770","1.699","56.54M","2.02%"
"Nov 12, 2021","1.716","1.755","1.776","1.637","90.77M","-2.23%"
"Nov 11, 2021","1.755","1.699","1.788","1.665","98.45M","3.29%"
"Nov 10, 2021","1.699","1.775","1.892","1.546","203.24M","-4.26%"
"Nov 09, 2021","1.775","1.892","1.894","1.761","193.51M","-6.19%"
"Nov 08, 2021","1.892","1.884","1.940","1.865","117.47M","0.44%"
"Nov 07, 2021","1.884","1.883","1.912","1.852","60.55M","0.00%"
"Nov 06, 2021","1.884","1.896","1.925","1.811","64.72M","-0.65%"
"Nov 05, 2021","1.896","1.918","1.950","1.868","74.75M","-1.14%"
"Nov 04, 2021","1.918","2.035","2.039","1.864","114.24M","-5.76%"
"Nov 03, 2021","2.035","1.937","2.148","1.937","213.84M","5.06%"
"Nov 02, 2021","1.937","1.905","1.968","1.864","129.70M","1.70%"
"Nov 01, 2021","1.905","1.935","1.970","1.840","126.06M","-1.51%"
"Oct 31, 2021","1.934","1.866","1.982","1.798","162.09M","3.69%"
"Oct 30, 2021","1.865","2.018","2.027","1.828","149.52M","-7.58%"
"Oct 29, 2021","2.018","2.132","2.216","1.919","286.58M","-5.34%"
"Oct 28, 2021","2.132","1.757","2.174","1.757","438.16M","21.34%"
"Oct 27, 2021","1.757","1.733","1.935","1.604","429.84M","1.37%"
