"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","0.19905","0.19672","0.20134","0.19429","367.73M","1.27%"
"Jan 25, 2022","0.19655","0.19794","0.19865","0.18793","399.03M","-0.67%"
"Jan 24, 2022","0.19787","0.20095","0.20095","0.17219","709.58M","-1.56%"
"Jan 23, 2022","0.20101","0.19230","0.20101","0.18798","530.09M","4.53%"
"Jan 22, 2022","0.19230","0.20290","0.20795","0.16941","988.29M","-5.26%"
"Jan 21, 2022","0.20297","0.23141","0.23361","0.19905","824.43M","-12.40%"
"Jan 20, 2022","0.23170","0.24567","0.25227","0.23030","298.87M","-5.64%"
"Jan 19, 2022","0.24554","0.25399","0.25569","0.24358","97.73M","-3.32%"
"Jan 18, 2022","0.25398","0.25595","0.25751","0.24885","298.32M","-0.77%"
"Jan 17, 2022","0.25594","0.25891","0.25980","0.25004","246.01M","-1.15%"
"Jan 16, 2022","0.25891","0.25905","0.26257","0.25462","222.22M","-0.07%"
"Jan 15, 2022","0.25909","0.26448","0.26825","0.25659","410.09M","-2.06%"
"Jan 14, 2022","0.26454","0.26932","0.27857","0.26184","504.80M","-1.73%"
"Jan 13, 2022","0.26920","0.28219","0.28984","0.26884","100.97M","-4.61%"
"Jan 12, 2022","0.28222","0.26302","0.29117","0.26301","494.09M","7.30%"
"Jan 11, 2022","0.26302","0.25303","0.26348","0.24811","268.73M","3.94%"
"Jan 10, 2022","0.25306","0.26100","0.26383","0.23957","350.14M","-3.03%"
"Jan 09, 2022","0.26097","0.25502","0.26388","0.25335","200.02M","2.34%"
"Jan 08, 2022","0.25501","0.25697","0.26449","0.24680","325.05M","-0.75%"
"Jan 07, 2022","0.25693","0.26756","0.26824","0.25159","433.29M","-4.03%"
"Jan 06, 2022","0.26772","0.26618","0.27220","0.25834","389.85M","0.57%"
"Jan 05, 2022","0.26619","0.27960","0.29480","0.25484","308.04M","-4.79%"
"Jan 04, 2022","0.27957","0.29020","0.29104","0.27868","127.40M","-3.66%"
"Jan 03, 2022","0.29019","0.29209","0.29741","0.28568","279.17M","-0.68%"
"Jan 02, 2022","0.29217","0.27670","0.29217","0.27573","244.53M","5.59%"
"Jan 01, 2022","0.27669","0.26664","0.27670","0.26611","197.75M","3.76%"
"Dec 31, 2021","0.26667","0.26802","0.27663","0.25924","281.23M","-0.48%"
"Dec 30, 2021","0.26795","0.26663","0.27516","0.26114","278.23M","0.51%"
"Dec 29, 2021","0.26661","0.27411","0.27955","0.26486","267.53M","-2.72%"
"Dec 28, 2021","0.27405","0.29925","0.29925","0.27329","292.97M","-8.42%"
"Dec 27, 2021","0.29924","0.29165","0.30556","0.29116","257.32M","2.60%"
"Dec 26, 2021","0.29167","0.28963","0.29421","0.28521","209.81M","0.71%"
"Dec 25, 2021","0.28960","0.27811","0.29519","0.27633","302.89M","4.15%"
"Dec 24, 2021","0.27807","0.28767","0.28854","0.27570","296.56M","-3.30%"
"Dec 23, 2021","0.28757","0.26743","0.28970","0.26492","359.37M","7.50%"
"Dec 22, 2021","0.26750","0.26774","0.27689","0.26706","370.64M","-0.07%"
"Dec 21, 2021","0.26768","0.25802","0.26932","0.25318","413.45M","3.77%"
"Dec 20, 2021","0.25796","0.25365","0.27383","0.25120","719.56M","1.68%"
"Dec 19, 2021","0.25371","0.25569","0.26670","0.25191","316.96M","-0.76%"
"Dec 18, 2021","0.25564","0.25459","0.26615","0.25097","335.36M","0.27%"
"Dec 17, 2021","0.25497","0.25586","0.26242","0.24625","419.34M","-0.39%"
"Dec 16, 2021","0.25595","0.27276","0.27425","0.25552","348.86M","-6.12%"
"Dec 15, 2021","0.27263","0.26735","0.27574","0.24664","482.67M","1.87%"
"Dec 14, 2021","0.26762","0.25300","0.27069","0.24802","547.85M","5.76%"
"Dec 13, 2021","0.25305","0.27577","0.27644","0.25210","384.89M","-8.27%"
"Dec 12, 2021","0.27586","0.27429","0.28174","0.26698","248.26M","0.64%"
"Dec 11, 2021","0.27411","0.26060","0.27976","0.25646","353.96M","5.25%"
"Dec 10, 2021","0.26045","0.27347","0.28065","0.25989","341.41M","-4.78%"
"Dec 09, 2021","0.27352","0.30611","0.30635","0.27341","568.38M","-10.62%"
"Dec 08, 2021","0.30601","0.28685","0.30746","0.28355","681.92M","6.70%"
"Dec 07, 2021","0.28678","0.29534","0.29995","0.28206","584.93M","-3.15%"
"Dec 06, 2021","0.29610","0.28231","0.29675","0.24874","1.12B","4.88%"
"Dec 05, 2021","0.28233","0.29029","0.29504","0.26145","843.03M","-2.77%"
"Dec 04, 2021","0.29037","0.32577","0.32594","0.23975","1.59B","-10.92%"
"Dec 03, 2021","0.32598","0.33973","0.36290","0.32255","1.02B","-3.76%"
"Dec 02, 2021","0.33871","0.32765","0.33982","0.31755","85.44M","3.36%"
"Dec 01, 2021","0.32770","0.33583","0.34518","0.32573","370.50M","-2.34%"
"Nov 30, 2021","0.33557","0.32830","0.35097","0.32820","568.72M","2.20%"
"Nov 29, 2021","0.32833","0.32381","0.33382","0.32250","363.45M","1.44%"
"Nov 28, 2021","0.32366","0.32591","0.32651","0.30167","456.67M","-0.70%"
"Nov 27, 2021","0.32595","0.32903","0.33459","0.32075","388.00M","-0.89%"
"Nov 26, 2021","0.32887","0.34147","0.34997","0.30714","882.08M","-3.68%"
"Nov 25, 2021","0.34143","0.32731","0.34725","0.32599","412.42M","4.30%"
"Nov 24, 2021","0.32736","0.34130","0.34135","0.32092","394.49M","-3.83%"
"Nov 23, 2021","0.34040","0.33619","0.34252","0.32853","131.75M","1.26%"
"Nov 22, 2021","0.33616","0.34379","0.35616","0.33177","556.35M","-2.23%"
"Nov 21, 2021","0.34382","0.34840","0.34895","0.33795","273.17M","-1.30%"
"Nov 20, 2021","0.34836","0.35378","0.35850","0.33700","331.57M","-1.53%"
"Nov 19, 2021","0.35377","0.32797","0.35638","0.32549","442.27M","7.89%"
"Nov 18, 2021","0.32790","0.34623","0.35530","0.31297","641.69M","-5.29%"
"Nov 17, 2021","0.34620","0.34329","0.34939","0.33291","532.92M","0.80%"
"Nov 16, 2021","0.34347","0.37702","0.37702","0.33394","646.83M","-8.90%"
"Nov 15, 2021","0.37703","0.37724","0.39248","0.37428","404.17M","-0.05%"
"Nov 14, 2021","0.37723","0.37838","0.38191","0.36798","287.73M","-0.32%"
"Nov 13, 2021","0.37842","0.37913","0.38254","0.37072","321.07M","-0.18%"
