"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","0.056715","0.055884","0.056907","0.055367","2.90B","1.50%"
"Jan 25, 2022","0.055879","0.055070","0.056094","0.053864","3.21B","1.48%"
"Jan 24, 2022","0.055066","0.057518","0.057548","0.050624","5.96B","-4.28%"
"Jan 23, 2022","0.057526","0.056804","0.058520","0.055350","3.71B","1.27%"
"Jan 22, 2022","0.056806","0.061092","0.061952","0.052771","6.89B","-7.04%"
"Jan 21, 2022","0.061109","0.067774","0.068625","0.059787","5.23B","-9.84%"
"Jan 20, 2022","0.067777","0.069140","0.072017","0.067478","3.25B","-1.97%"
"Jan 19, 2022","0.069140","0.068459","0.069639","0.066239","4.12B","0.98%"
"Jan 18, 2022","0.068470","0.070848","0.071340","0.067477","3.47B","-3.35%"
"Jan 17, 2022","0.070843","0.069868","0.072429","0.068899","4.10B","1.40%"
"Jan 16, 2022","0.069862","0.068445","0.070366","0.068330","2.57B","2.06%"
"Jan 15, 2022","0.068451","0.067627","0.069332","0.067050","2.17B","1.22%"
"Jan 14, 2022","0.067627","0.066182","0.068447","0.065903","3.46B","2.19%"
"Jan 13, 2022","0.066179","0.068071","0.068526","0.065961","3.52B","-2.77%"
"Jan 12, 2022","0.068068","0.064908","0.068285","0.064908","2.95B","4.86%"
"Jan 11, 2022","0.064912","0.063453","0.065618","0.062944","3.18B","2.30%"
"Jan 10, 2022","0.063453","0.066109","0.068299","0.061193","3.90B","-4.00%"
"Jan 09, 2022","0.066100","0.065378","0.067218","0.064930","2.74B","1.11%"
"Jan 08, 2022","0.065373","0.068137","0.069138","0.064030","2.63B","-4.06%"
"Jan 07, 2022","0.068137","0.071077","0.071151","0.066594","4.71B","-4.12%"
"Jan 06, 2022","0.071065","0.071093","0.071470","0.069323","6.02B","-0.02%"
"Jan 05, 2022","0.071082","0.075966","0.077443","0.069163","3.57B","-6.43%"
"Jan 04, 2022","0.075966","0.077046","0.078000","0.075797","3.51B","-1.39%"
"Jan 03, 2022","0.077035","0.077634","0.078170","0.076267","3.32B","-0.78%"
"Jan 02, 2022","0.077638","0.076595","0.078317","0.076029","3.16B","1.37%"
"Jan 01, 2022","0.076589","0.075399","0.076853","0.075243","2.97B","1.57%"
"Dec 31, 2021","0.075403","0.077841","0.079101","0.073584","3.34B","-3.13%"
"Dec 30, 2021","0.077841","0.076449","0.078593","0.075638","2.53B","1.82%"
"Dec 29, 2021","0.076449","0.077141","0.080002","0.076177","2.95B","-0.87%"
"Dec 28, 2021","0.077121","0.081127","0.081132","0.076890","3.55B","-4.93%"
"Dec 27, 2021","0.081120","0.081496","0.082699","0.080933","2.45B","-0.46%"
"Dec 26, 2021","0.081496","0.081516","0.081903","0.079739","2.17B","0.01%"
"Dec 25, 2021","0.081487","0.080826","0.082197","0.080251","3.11B","0.83%"
"Dec 24, 2021","0.080815","0.082725","0.083156","0.080281","2.41B","-2.29%"
"Dec 23, 2021","0.082710","0.079119","0.082710","0.078075","2.42B","4.54%"
"Dec 22, 2021","0.079121","0.078849","0.080471","0.078375","1.93B","0.33%"
"Dec 21, 2021","0.078859","0.077596","0.079342","0.076943","2.20B","1.72%"
"Dec 20, 2021","0.077529","0.079839","0.080054","0.074908","2.73B","-2.90%"
"Dec 19, 2021","0.079846","0.080434","0.081731","0.079396","1.93B","-0.72%"
"Dec 18, 2021","0.080427","0.079546","0.082288","0.078675","1.96B","1.09%"
"Dec 17, 2021","0.079561","0.085334","0.085938","0.078307","4.28B","-6.77%"
"Dec 16, 2021","0.085339","0.087538","0.088034","0.085229","3.01B","-2.52%"
"Dec 15, 2021","0.087544","0.087067","0.088819","0.079943","3.71B","0.52%"
"Dec 14, 2021","0.087094","0.084969","0.087669","0.083885","3.62B","2.50%"
"Dec 13, 2021","0.084970","0.090997","0.091570","0.084105","2.91B","-6.66%"
"Dec 12, 2021","0.091032","0.091252","0.092670","0.089464","1.97B","-0.24%"
"Dec 11, 2021","0.091252","0.087728","0.091779","0.086715","1.91B","3.99%"
"Dec 10, 2021","0.087754","0.088627","0.092943","0.087559","2.66B","-0.98%"
"Dec 09, 2021","0.088625","0.092314","0.093250","0.088576","3.11B","-4.00%"
"Dec 08, 2021","0.092314","0.089934","0.093718","0.089703","3.63B","2.65%"
"Dec 07, 2021","0.089934","0.087371","0.092604","0.086677","4.55B","2.84%"
"Dec 06, 2021","0.087449","0.084297","0.087622","0.078971","8.47B","3.74%"
"Dec 05, 2021","0.084294","0.087011","0.087743","0.082186","5.36B","-3.13%"
"Dec 04, 2021","0.087016","0.093886","0.093951","0.074565","11.61B","-7.36%"
"Dec 03, 2021","0.093928","0.097502","0.101752","0.093470","8.29B","-3.67%"
"Dec 02, 2021","0.097504","0.096876","0.098229","0.094992","7.08B","0.66%"
"Dec 01, 2021","0.096863","0.096532","0.100515","0.093577","4.55B","0.35%"
"Nov 30, 2021","0.096525","0.097159","0.111531","0.094980","8.04B","-0.65%"
"Nov 29, 2021","0.097159","0.095137","0.127705","0.089808","6.45B","2.08%"
"Nov 28, 2021","0.095177","0.093348","0.095186","0.089525","9.10B","1.93%"
"Nov 27, 2021","0.093377","0.092090","0.095700","0.091626","5.72B","1.43%"
"Nov 26, 2021","0.092063","0.100090","0.101718","0.090195","9.19B","-8.01%"
"Nov 25, 2021","0.100075","0.097845","0.102159","0.095353","3.92B","2.24%"
"Nov 24, 2021","0.097883","0.102879","0.103688","0.096029","4.81B","-4.86%"
"Nov 23, 2021","0.102885","0.101812","0.103406","0.100996","5.93B","1.06%"
"Nov 22, 2021","0.101803","0.106583","0.107041","0.101193","7.69B","-4.55%"
"Nov 21, 2021","0.106655","0.105185","0.109698","0.104502","7.19B","1.38%"
"Nov 20, 2021","0.105198","0.103897","0.105645","0.101529","7.44B","1.25%"
"Nov 19, 2021","0.103903","0.100482","0.105614","0.097983","9.56B","3.38%"
"Nov 18, 2021","0.100503","0.111191","0.112520","0.099582","6.51B","-9.62%"
"Nov 17, 2021","0.111197","0.109368","0.113635","0.107002","6.09B","1.67%"
"Nov 16, 2021","0.109371","0.123800","0.123800","0.105762","8.41B","-11.66%"
"Nov 15, 2021","0.123804","0.117026","0.129138","0.115768","9.10B","5.79%"
"Nov 14, 2021","0.117024","0.112691","0.117323","0.110611","5.82B","3.86%"
"Nov 13, 2021","0.112672","0.107962","0.113949","0.107547","8.23B","4.36%"
"Nov 12, 2021","0.107962","0.108932","0.110731","0.104774","7.33B","-0.89%"
"Nov 11, 2021","0.108935","0.106724","0.110451","0.104958","6.66B","2.07%"
"Nov 10, 2021","0.106724","0.114357","0.117455","0.103250","8.16B","-6.67%"
"Nov 09, 2021","0.114351","0.109943","0.115411","0.108548","8.95B","4.01%"
"Nov 08, 2021","0.109943","0.104477","0.110092","0.104477","8.37B","5.24%"
"Nov 07, 2021","0.104471","0.102471","0.104884","0.102010","5.99B","1.97%"
"Nov 06, 2021","0.102455","0.103428","0.104235","0.099476","5.05B","-0.95%"
"Nov 05, 2021","0.103433","0.103345","0.106092","0.101963","3.88B","0.08%"
"Nov 04, 2021","0.103348","0.105867","0.107153","0.101695","5.88B","-2.37%"
"Nov 03, 2021","0.105859","0.107362","0.109199","0.102138","7.98B","-1.39%"
"Nov 02, 2021","0.107346","0.100536","0.110391","0.099816","7.96B","6.79%"
"Nov 01, 2021","0.100524","0.101507","0.102036","0.098013","3.46B","-0.97%"
"Oct 31, 2021","0.101504","0.101106","0.102367","0.097545","6.69B","0.40%"
"Oct 30, 2021","0.101099","0.099469","0.104652","0.097870","8.36B","1.65%"
"Oct 29, 2021","0.099453","0.095284","0.099453","0.094691","7.44B","4.38%"
"Oct 28, 2021","0.095284","0.090614","0.096225","0.090614","9.57B","5.18%"
"Oct 27, 2021","0.090593","0.101108","0.102653","0.089344","7.07B","-10.40%"
"Oct 26, 2021","0.101108","0.100747","0.105637","0.100241","6.39B","0.35%"
"Oct 25, 2021","0.100756","0.098107","0.101400","0.097846","4.98B","2.69%"
"Oct 24, 2021","0.098121","0.100662","0.101416","0.097289","3.03B","-2.52%"
"Oct 23, 2021","0.100659","0.099811","0.101198","0.098633","3.16B","0.85%"
"Oct 22, 2021","0.099811","0.099562","0.101947","0.098653","3.76B","0.24%"
"Oct 21, 2021","0.099573","0.103202","0.105937","0.099413","4.91B","-3.61%"
"Oct 20, 2021","0.103306","0.100549","0.106086","0.100082","5.35B","2.72%"
"Oct 19, 2021","0.100570","0.098091","0.100903","0.097872","3.75B","2.51%"
"Oct 18, 2021","0.098103","0.098701","0.099329","0.096988","2.74B","-0.60%"
"Oct 17, 2021","0.098696","0.098650","0.102075","0.096477","2.77B","0.16%"
"Oct 16, 2021","0.098536","0.098628","0.100942","0.098197","1.84B","-0.06%"
"Oct 15, 2021","0.098594","0.097147","0.102656","0.095210","4.08B","1.49%"
"Oct 14, 2021","0.097147","0.097908","0.099508","0.096412","2.93B","-0.76%"
"Oct 13, 2021","0.097895","0.095311","0.097997","0.093468","3.47B","2.71%"
"Oct 12, 2021","0.095311","0.097112","0.097112","0.091526","3.73B","-1.88%"
"Oct 11, 2021","0.097133","0.097501","0.100914","0.095118","2.84B","-0.43%"
"Oct 10, 2021","0.097555","0.103074","0.103087","0.097217","3.39B","-5.28%"
"Oct 09, 2021","0.102997","0.097688","0.105560","0.097125","6.53B","5.48%"
"Oct 08, 2021","0.097645","0.095481","0.099369","0.095257","5.73B","2.34%"
"Oct 07, 2021","0.095415","0.095481","0.098286","0.093410","6.41B","-0.06%"
"Oct 06, 2021","0.095470","0.096222","0.096992","0.091040","6.95B","-0.76%"
"Oct 05, 2021","0.096203","0.093512","0.098471","0.092897","8.28B","2.87%"
"Oct 04, 2021","0.093521","0.094960","0.095165","0.090045","4.52B","-1.54%"
"Oct 03, 2021","0.094983","0.093420","0.096643","0.092581","2.26B","1.65%"
"Oct 02, 2021","0.093444","0.094793","0.095853","0.092353","2.21B","-1.40%"
"Oct 01, 2021","0.094775","0.089418","0.094807","0.088514","2.93B","5.98%"
"Sep 30, 2021","0.089426","0.085824","0.089652","0.085520","2.31B","4.21%"
"Sep 29, 2021","0.085815","0.083080","0.087931","0.082594","3.20B","3.30%"
"Sep 28, 2021","0.083076","0.085980","0.087182","0.082966","3.50B","-3.39%"
"Sep 27, 2021","0.085989","0.087713","0.090568","0.085968","3.89B","-1.95%"
"Sep 26, 2021","0.087699","0.090528","0.090790","0.083331","5.06B","-3.17%"
"Sep 25, 2021","0.090566","0.092248","0.093681","0.089311","3.83B","-1.83%"
"Sep 24, 2021","0.092258","0.099201","0.099366","0.086125","5.12B","-6.99%"
"Sep 23, 2021","0.099186","0.098743","0.100619","0.096136","2.92B","0.43%"
"Sep 22, 2021","0.098757","0.088248","0.098757","0.086683","3.99B","12.02%"
"Sep 21, 2021","0.088162","0.091351","0.095592","0.086920","5.95B","-3.48%"
"Sep 20, 2021","0.091344","0.103699","0.103730","0.089649","7.24B","-11.93%"
"Sep 19, 2021","0.103716","0.105888","0.107464","0.102466","2.65B","-2.05%"
"Sep 18, 2021","0.105884","0.105324","0.109083","0.103537","2.26B","0.65%"
"Sep 17, 2021","0.105205","0.115932","0.120524","0.103609","5.88B","-9.29%"
"Sep 16, 2021","0.115983","0.120803","0.122226","0.112357","4.37B","-3.99%"
"Sep 15, 2021","0.120803","0.118238","0.122776","0.113472","4.63B","2.19%"
"Sep 14, 2021","0.118217","0.104662","0.120112","0.104150","7.69B","12.95%"
"Sep 13, 2021","0.104667","0.112420","0.116942","0.099106","7.41B","-6.91%"
