"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","0.999","1.000","1.001","0.998","8.51M","-0.10%"
"Jan 25, 2022","1.000","1.000","1.001","0.999","5.05M","0.00%"
"Jan 24, 2022","1.000","1.000","1.002","0.999","9.97M","0.00%"
"Jan 23, 2022","1.000","1.000","1.002","0.999","4.84M","0.00%"
"Jan 22, 2022","1.000","1.002","1.003","0.999","13.10M","-0.20%"
"Jan 21, 2022","1.002","1.002","1.007","1.001","11.79M","0.00%"
"Jan 20, 2022","1.002","1.002","1.003","1.001","4.00M","0.00%"
"Jan 19, 2022","1.002","1.001","1.002","1.000","4.03M","0.10%"
"Jan 18, 2022","1.001","1.001","1.001","1.000","3.64M","0.00%"
"Jan 17, 2022","1.001","1.002","1.002","0.999","7.37M","-0.10%"
"Jan 16, 2022","1.002","1.001","1.003","1.001","3.57M","0.10%"
"Jan 15, 2022","1.001","1.002","1.006","1.001","6.93M","-0.10%"
"Jan 14, 2022","1.002","1.000","1.002","0.996","5.54M","0.20%"
"Jan 13, 2022","1.000","1.000","1.002","1.000","5.95M","0.00%"
"Jan 12, 2022","1.000","1.002","1.002","1.000","4.90M","-0.10%"
"Jan 11, 2022","1.001","1.001","1.002","1.000","3.90M","0.00%"
"Jan 10, 2022","1.001","1.000","1.001","0.999","4.29M","0.10%"
"Jan 09, 2022","1.000","0.999","1.000","0.999","6.09M","0.10%"
"Jan 08, 2022","0.999","1.000","1.001","0.998","10.59M","-0.10%"
"Jan 07, 2022","1.000","1.001","1.003","0.999","11.08M","-0.10%"
"Jan 06, 2022","1.001","1.000","1.002","1.000","5.18M","0.00%"
"Jan 05, 2022","1.001","1.001","1.002","1.000","6.08M","0.00%"
"Jan 04, 2022","1.001","1.002","1.003","1.001","3.57M","-0.10%"
"Jan 03, 2022","1.002","1.001","1.002","1.001","2.45M","0.10%"
"Jan 02, 2022","1.001","1.001","1.002","1.001","1.67M","0.00%"
"Jan 01, 2022","1.001","1.001","1.003","1.001","3.23M","0.00%"
"Dec 31, 2021","1.001","1.001","1.002","1.001","3.43M","0.00%"
