"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","0.9997","0.9994","0.9998","0.9994","136.30M","0.03%"
"Jan 25, 2022","0.9994","0.9997","0.9999","0.9993","136.05M","-0.03%"
"Jan 24, 2022","0.9997","0.9999","1.0001","0.9995","235.22M","-0.03%"
"Jan 23, 2022","1.0000","1.0001","1.0001","0.9999","113.25M","-0.01%"
"Jan 22, 2022","1.0001","1.0000","1.0002","0.9996","217.65M","0.01%"
"Jan 21, 2022","1.0000","1.0000","1.0002","0.9997","215.16M","0.00%"
"Jan 20, 2022","1.0000","0.9998","1.0004","0.9998","168.54M","0.02%"
"Jan 19, 2022","0.9998","0.9997","1.0000","0.9997","109.02M","0.00%"
"Jan 18, 2022","0.9998","0.9999","1.0000","0.9997","121.34M","-0.01%"
"Jan 17, 2022","0.9999","0.9997","0.9999","0.9996","89.72M","0.02%"
"Jan 16, 2022","0.9997","0.9995","0.9997","0.9994","61.77M","0.02%"
"Jan 15, 2022","0.9995","0.9996","0.9998","0.9995","78.12M","-0.01%"
"Jan 14, 2022","0.9996","0.9995","1.0000","0.9994","108.95M","0.01%"
"Jan 13, 2022","0.9995","0.9996","0.9996","0.9993","127.63M","-0.01%"
"Jan 12, 2022","0.9996","0.9994","0.9996","0.9994","143.34M","0.02%"
"Jan 11, 2022","0.9994","1.0000","1.0001","0.9994","135.21M","-0.06%"
"Jan 10, 2022","1.0000","1.0001","1.0002","1.0000","105.88M","-0.01%"
"Jan 09, 2022","1.0001","1.0002","1.0003","1.0000","98.71M","-0.01%"
"Jan 08, 2022","1.0002","1.0003","1.0004","1.0001","126.96M","-0.01%"
"Jan 07, 2022","1.0003","1.0001","1.0005","1.0000","182.02M","0.03%"
"Jan 06, 2022","1.0000","1.0001","1.0005","1.0000","150.88M","-0.01%"
"Jan 05, 2022","1.0001","1.0001","1.0002","1.0000","149.28M","0.00%"
"Jan 04, 2022","1.0001","1.0002","1.0003","1.0000","144.61M","0.00%"
"Jan 03, 2022","1.0001","0.9999","1.0003","0.9998","97.21M","0.02%"
"Jan 02, 2022","0.9999","0.9998","0.9999","0.9998","42.02M","0.01%"
"Jan 01, 2022","0.9998","0.9999","1.0000","0.9998","57.94M","-0.01%"
"Dec 31, 2021","0.9999","0.9998","1.0002","0.9997","97.34M","0.02%"
"Dec 30, 2021","0.9997","0.9999","1.0000","0.9996","128.64M","-0.02%"
"Dec 29, 2021","0.9999","0.9997","1.0001","0.9997","103.06M","0.02%"
"Dec 28, 2021","0.9997","0.9995","1.0000","0.9994","121.99M","0.02%"
"Dec 27, 2021","0.9995","0.9993","0.9995","0.9993","80.46M","0.02%"
"Dec 26, 2021","0.9993","0.9993","0.9994","0.9992","65.12M","0.00%"
"Dec 25, 2021","0.9993","0.9995","0.9995","0.9993","58.34M","-0.02%"
"Dec 24, 2021","0.9995","0.9997","0.9997","0.9994","89.13M","-0.02%"
"Dec 23, 2021","0.9997","0.9995","0.9997","0.9994","121.04M","0.02%"
"Dec 22, 2021","0.9995","0.9995","0.9997","0.9995","118.74M","0.00%"
"Dec 21, 2021","0.9995","0.9998","0.9999","0.9994","110.49M","-0.03%"
"Dec 20, 2021","0.9998","0.9998","0.9999","0.9996","109.65M","0.00%"
"Dec 19, 2021","0.9998","0.9998","0.9999","0.9996","66.53M","0.00%"
"Dec 18, 2021","0.9998","0.9998","0.9999","0.9996","74.96M","0.00%"
"Dec 17, 2021","0.9998","0.9998","0.9999","0.9997","119.10M","0.00%"
