"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","0.62119","0.61780","0.63228","0.60852","638.46M","0.58%"
"Jan 25, 2022","0.61760","0.61203","0.62270","0.58659","639.44M","0.90%"
"Jan 24, 2022","0.61208","0.62868","0.62868","0.55498","1.03B","-2.65%"
"Jan 23, 2022","0.62873","0.59679","0.63494","0.59030","658.65M","5.36%"
"Jan 22, 2022","0.59674","0.63720","0.65281","0.55200","1.45B","-6.37%"
"Jan 21, 2022","0.63732","0.72025","0.72835","0.61332","1.14B","-11.54%"
"Jan 20, 2022","0.72044","0.73819","0.76195","0.71648","398.80M","-2.38%"
"Jan 19, 2022","0.73799","0.75090","0.75318","0.72406","394.07M","-1.78%"
"Jan 18, 2022","0.75136","0.76171","0.76844","0.73567","381.76M","-1.33%"
"Jan 17, 2022","0.76147","0.77844","0.78022","0.75064","353.39M","-2.18%"
"Jan 16, 2022","0.77843","0.77921","0.78416","0.76850","241.76M","-0.12%"
"Jan 15, 2022","0.77934","0.77313","0.78921","0.76841","265.12M","0.79%"
"Jan 14, 2022","0.77323","0.76752","0.79013","0.75279","410.72M","0.78%"
"Jan 13, 2022","0.76724","0.79807","0.80210","0.76089","422.74M","-3.84%"
"Jan 12, 2022","0.79788","0.76992","0.80681","0.75762","543.02M","3.64%"
"Jan 11, 2022","0.76986","0.74011","0.77445","0.73084","495.85M","4.02%"
"Jan 10, 2022","0.74013","0.75294","0.75892","0.70058","566.01M","-1.69%"
"Jan 09, 2022","0.75283","0.74478","0.76650","0.73842","307.32M","1.09%"
"Jan 08, 2022","0.74471","0.76271","0.77617","0.72319","471.11M","-2.35%"
"Jan 07, 2022","0.76260","0.77904","0.78057","0.72996","688.04M","-2.18%"
"Jan 06, 2022","0.77960","0.77137","0.79055","0.74005","584.96M","1.08%"
"Jan 05, 2022","0.77125","0.82271","0.83655","0.71549","631.16M","-6.27%"
"Jan 04, 2022","0.82285","0.83183","0.84489","0.81716","395.68M","-1.07%"
"Jan 03, 2022","0.83173","0.85867","0.85867","0.82199","363.28M","-3.14%"
"Jan 02, 2022","0.85871","0.85003","0.86380","0.83745","254.07M","1.02%"
"Jan 01, 2022","0.85001","0.83007","0.85483","0.82553","266.53M","2.42%"
"Dec 31, 2021","0.82995","0.83871","0.85350","0.80292","457.62M","-1.04%"
"Dec 30, 2021","0.83868","0.81681","0.85856","0.80420","502.92M","2.72%"
"Dec 29, 2021","0.81650","0.85164","0.86439","0.81180","574.42M","-4.07%"
"Dec 28, 2021","0.85112","0.92664","0.92677","0.84575","604.16M","-8.11%"
"Dec 27, 2021","0.92622","0.91969","0.95497","0.91523","442.48M","0.70%"
"Dec 26, 2021","0.91982","0.92522","0.93305","0.90568","313.23M","-0.59%"
"Dec 25, 2021","0.92525","0.91059","0.93343","0.89917","464.59M","1.61%"
"Dec 24, 2021","0.91061","0.99394","0.99588","0.89383","998.32M","-8.39%"
"Dec 23, 2021","0.99398","0.95368","1.01612","0.93870","967.00M","4.21%"
"Dec 22, 2021","0.95380","0.94683","0.97227","0.92432","772.54M","0.73%"
"Dec 21, 2021","0.94692","0.87956","0.96040","0.85315","888.15M","7.78%"
"Dec 20, 2021","0.87856","0.83512","0.91359","0.82500","1.05B","5.21%"
"Dec 19, 2021","0.83508","0.82643","0.84793","0.81969","326.03M","1.05%"
"Dec 18, 2021","0.82643","0.79749","0.83415","0.79116","333.85M","3.63%"
"Dec 17, 2021","0.79749","0.80538","0.83061","0.77668","508.54M","-0.96%"
"Dec 16, 2021","0.80519","0.82623","0.83616","0.80352","410.59M","-2.56%"
"Dec 15, 2021","0.82632","0.81025","0.83954","0.77780","748.92M","1.92%"
"Dec 14, 2021","0.81079","0.78181","0.82051","0.77359","753.47M","3.71%"
"Dec 13, 2021","0.78180","0.83971","0.84387","0.76124","701.25M","-6.92%"
"Dec 12, 2021","0.83990","0.83767","0.85633","0.80961","441.73M","0.32%"
"Dec 11, 2021","0.83722","0.79999","0.84336","0.78641","561.08M","4.76%"
"Dec 10, 2021","0.79916","0.85795","0.88198","0.79526","957.23M","-6.87%"
"Dec 09, 2021","0.85809","0.86167","0.93300","0.83285","1.26B","-0.39%"
"Dec 08, 2021","0.86148","0.81535","0.88302","0.80486","811.57M","5.65%"
"Dec 07, 2021","0.81538","0.82645","0.84411","0.80487","635.49M","-1.37%"
"Dec 06, 2021","0.82668","0.80417","0.82979","0.75038","974.49M","2.81%"
"Dec 05, 2021","0.80406","0.84530","0.85931","0.77893","963.26M","-5.07%"
"Dec 04, 2021","0.84697","0.92132","0.92437","0.62065","2.19B","-8.07%"
"Dec 03, 2021","0.92135","0.97187","0.98335","0.89673","582.44M","-5.23%"
"Dec 02, 2021","0.97217","0.98955","0.98995","0.95647","429.13M","-1.76%"
"Dec 01, 2021","0.98958","0.99842","1.01722","0.98043","478.61M","-0.81%"
"Nov 30, 2021","0.99761","0.98945","1.02975","0.97116","653.91M","0.82%"
"Nov 29, 2021","0.98950","0.96887","1.00149","0.96318","598.77M","2.11%"
"Nov 28, 2021","0.96903","0.94528","0.96903","0.89020","643.46M","2.49%"
"Nov 27, 2021","0.94547","0.93854","0.96495","0.93403","443.48M","0.74%"
"Nov 26, 2021","0.93854","1.04277","1.04635","0.92297","1.15B","-9.99%"
"Nov 25, 2021","1.04267","1.03266","1.06370","1.02212","604.41M","0.93%"
"Nov 24, 2021","1.03310","1.07209","1.07289","1.00944","656.76M","-3.64%"
"Nov 23, 2021","1.07209","1.03539","1.08177","1.02151","664.53M","3.54%"
"Nov 22, 2021","1.03548","1.05808","1.06802","1.02616","647.38M","-2.13%"
"Nov 21, 2021","1.05799","1.09615","1.09715","1.05532","468.55M","-3.48%"
"Nov 20, 2021","1.09614","1.08957","1.10099","1.06209","493.24M","0.60%"
"Nov 19, 2021","1.08963","1.04144","1.09849","1.01839","711.47M","4.64%"
"Nov 18, 2021","1.04133","1.09558","1.15799","1.01932","1.34B","-4.96%"
"Nov 17, 2021","1.09570","1.08842","1.11245","1.05976","777.75M","0.66%"
