,Date
0,2022-01-26
1,2022-01-25
2,2022-01-24
3,2022-01-23
4,2022-01-22
5,2022-01-21
6,2022-01-20
7,2022-01-19
8,2022-01-18
9,2022-01-17
10,2022-01-16
11,2022-01-15
12,2022-01-14
13,2022-01-13
14,2022-01-12
15,2022-01-11
16,2022-01-10
17,2022-01-09
18,2022-01-08
19,2022-01-07
20,2022-01-06
21,2022-01-05
22,2022-01-04
23,2022-01-03
24,2022-01-02
25,2022-01-01
26,2021-12-31
27,2021-12-30
28,2021-12-29
29,2021-12-28
30,2021-12-27
31,2021-12-26
32,2021-12-25
33,2021-12-24
34,2021-12-23
35,2021-12-22
36,2021-12-21
37,2021-12-20
38,2021-12-19
39,2021-12-18
40,2021-12-17
41,2021-12-16
42,2021-12-15
43,2021-12-14
44,2021-12-13
45,2021-12-12
46,2021-12-11
47,2021-12-10
48,2021-12-09
49,2021-12-08
50,2021-12-07
51,2021-12-06
52,2021-12-05
53,2021-12-04
54,2021-12-03
55,2021-12-02
56,2021-12-01
57,2021-11-30
58,2021-11-29
59,2021-11-28
60,2021-11-27
61,2021-11-26
62,2021-11-25
63,2021-11-24
64,2021-11-23
65,2021-11-22
66,2021-11-21
67,2021-11-20
68,2021-11-19
69,2021-11-18
70,2021-11-17
71,2021-11-16
72,2021-11-15
73,2021-11-14
74,2021-11-13
75,2021-11-12
76,2021-11-11
77,2021-11-10
78,2021-11-09
79,2021-11-08
80,2021-11-07
81,2021-11-06
82,2021-11-05
83,2021-11-04
84,2021-11-03
85,2021-11-02
86,2021-11-01
87,2021-10-31
88,2021-10-30
89,2021-10-29
90,2021-10-28
91,2021-10-27
92,2021-10-26
93,2021-10-25
94,2021-10-24
95,2021-10-23
96,2021-10-22
97,2021-10-21
98,2021-10-20
99,2021-10-19
100,2021-10-18
101,2021-10-17
102,2021-10-16
103,2021-10-15
104,2021-10-14
105,2021-10-13
106,2021-10-12
107,2021-10-11
108,2021-10-10
109,2021-10-09
110,2021-10-08
111,2021-10-07
112,2021-10-06
113,2021-10-05
114,2021-10-04
115,2021-10-03
116,2021-10-02
117,2021-10-01
118,2021-09-30
119,2021-09-29
120,2021-09-28
121,2021-09-27
122,2021-09-26
123,2021-09-25
124,2021-09-24
125,2021-09-23
126,2021-09-22
127,2021-09-21
128,2021-09-20
129,2021-09-19
130,2021-09-18
131,2021-09-17
132,2021-09-16
133,2021-09-15
134,2021-09-14
135,2021-09-13
136,2021-09-12
137,2021-09-11
138,2021-09-10
139,2021-09-09
140,2021-09-08
141,2021-09-07
142,2021-09-06
143,2021-09-05
144,2021-09-04
145,2021-09-03
146,2021-09-02
147,2021-09-01
148,2021-08-31
149,2021-08-30
150,2021-08-29
151,2021-08-28
152,2021-08-27
153,2021-08-26
154,2021-08-25
155,2021-08-24
156,2021-08-23
157,2021-08-22
158,2021-08-21
159,2021-08-20
160,2021-08-19
161,2021-08-18
162,2021-08-17
163,2021-08-16
164,2021-08-15
165,2021-08-14
166,2021-08-13
167,2021-08-12
168,2021-08-11
169,2021-08-10
